Word,PoS,Total Count,Word Frequency,Unary Probability
于,p,50,0.012352,0.012352
所,u,16,0.003953,0.003953
不,d,111,0.027421,0.027421
者,r,1,0.000247,0.000247
何,r,26,0.006423,0.006423
也,u,76,0.018775,0.018775
然,r,7,0.001729,0.001729
将,d,7,0.001729,0.001729
乎,u,24,0.005929,0.005929
对,p,14,0.003458,0.003458
此,r,3,0.000741,0.000741
之,u,136,0.033597,0.033597
而,c,75,0.018528,0.018528
又,d,7,0.001729,0.001729
其,r,94,0.023221,0.023221
比,p,4,0.000988,0.000988
之,r,55,0.013587,0.013587
则,c,14,0.003458,0.003458
在,p,9,0.002223,0.002223
齐,d,2,0.000494,0.000494
以,p,107,0.026433,0.026433
为,p,11,0.002717,0.002717
乎,p,2,0.000494,0.000494
各,r,1,0.000247,0.000247
相,d,3,0.000741,0.000741
故,c,7,0.001729,0.001729
及,c,8,0.001976,0.001976
方,d,1,0.000247,0.000247
以,c,3,0.000741,0.000741
莫,d,2,0.000494,0.000494
正,d,3,0.000741,0.000741
常,d,7,0.001729,0.001729
复,d,1,0.000247,0.000247
当,p,2,0.000494,0.000494
重,d,1,0.000247,0.000247
与,c,1,0.000247,0.000247
经,p,3,0.000741,0.000741
和,c,1,0.000247,0.000247
已,d,7,0.001729,0.001729
则,d,8,0.001976,0.001976
边,d,1,0.000247,0.000247
频,d,1,0.000247,0.000247
从,p,2,0.000494,0.000494
先,d,5,0.001235,0.001235
或,c,5,0.001235,0.001235
尔,r,2,0.000494,0.000494
必,d,14,0.003458,0.003458
自,d,3,0.000741,0.000741
自,p,6,0.001482,0.001482
谁,r,5,0.001235,0.001235
焉,u,11,0.002717,0.002717
且,c,2,0.000494,0.000494
与,p,6,0.001482,0.001482
吾,r,15,0.003706,0.003706
足,d,15,0.003706,0.003706
共,d,2,0.000494,0.000494
将,p,4,0.000988,0.000988
矣,u,17,0.004200,0.004200
每,r,2,0.000494,0.000494
至,p,1,0.000247,0.000247
也,d,9,0.002223,0.002223
我,r,4,0.000988,0.000988
自,r,1,0.000247,0.000247
非,d,2,0.000494,0.000494
唯,d,5,0.001235,0.001235
己,r,1,0.000247,0.000247
甚,d,3,0.000741,0.000741
若,c,12,0.002964,0.002964
独,d,1,0.000247,0.000247
欲,d,5,0.001235,0.001235
乃,c,1,0.000247,0.000247
更,d,1,0.000247,0.000247
惟,d,1,0.000247,0.000247
皆,d,4,0.000988,0.000988
未,d,1,0.000247,0.000247
耶,u,1,0.000247,0.000247
亦,d,2,0.000494,0.000494
同,p,1,0.000247,0.000247
故,d,1,0.000247,0.000247
焉,r,3,0.000741,0.000741
犹,d,4,0.000988,0.000988
又,c,1,0.000247,0.000247
连,u,1,0.000247,0.000247
直,d,3,0.000741,0.000741
彼,r,2,0.000494,0.000494
既,c,1,0.000247,0.000247
余,r,1,0.000247,0.000247
可,c,1,0.000247,0.000247
尚,d,1,0.000247,0.000247
遂,d,1,0.000247,0.000247
