Word,PoS,Total Count,Word Frequency,Unary Probability
吾,r,23,0.005215,0.005215
以,p,99,0.022449,0.022449
之,u,125,0.028345,0.028345
之,r,45,0.010204,0.010204
于,p,36,0.008163,0.008163
不,d,127,0.028798,0.028798
非,d,5,0.001134,0.001134
也,u,83,0.018821,0.018821
故,c,9,0.002041,0.002041
唯,d,3,0.000680,0.000680
其,r,105,0.023810,0.023810
所,u,9,0.002041,0.002041
则,c,8,0.001814,0.001814
焉,u,24,0.005442,0.005442
何,r,31,0.007029,0.007029
矣,u,23,0.005215,0.005215
且,c,15,0.003401,0.003401
未,d,4,0.000907,0.000907
从,p,9,0.002041,0.002041
而,c,101,0.022902,0.022902
遂,d,3,0.000680,0.000680
对,p,8,0.001814,0.001814
在,p,8,0.001814,0.001814
谁,r,3,0.000680,0.000680
也,d,3,0.000680,0.000680
必,d,26,0.005896,0.005896
正,d,2,0.000454,0.000454
与,c,6,0.001361,0.001361
孰,r,5,0.001134,0.001134
将,d,13,0.002948,0.002948
亦,d,12,0.002721,0.002721
若,c,16,0.003628,0.003628
乎,u,25,0.005669,0.005669
与,p,10,0.002268,0.002268
又,d,13,0.002948,0.002948
当,p,2,0.000454,0.000454
我,r,15,0.003401,0.003401
纵,c,1,0.000227,0.000227
及,c,3,0.000680,0.000680
骤,d,2,0.000454,0.000454
焉,r,5,0.001134,0.001134
甚,d,6,0.001361,0.001361
足,d,2,0.000454,0.000454
就,d,1,0.000227,0.000227
已,d,3,0.000680,0.000680
向,p,1,0.000227,0.000227
己,r,1,0.000227,0.000227
则,d,3,0.000680,0.000680
犹,d,2,0.000454,0.000454
为,p,10,0.002268,0.002268
莫,d,3,0.000680,0.000680
皆,d,4,0.000907,0.000907
既,c,2,0.000454,0.000454
本,d,1,0.000227,0.000227
者,r,2,0.000454,0.000454
极,d,3,0.000680,0.000680
自,r,2,0.000454,0.000454
然,c,2,0.000454,0.000454
哉,u,4,0.000907,0.000907
自,p,6,0.001361,0.001361
复,d,3,0.000680,0.000680
彼,r,3,0.000680,0.000680
然,r,1,0.000227,0.000227
果,d,2,0.000454,0.000454
本,r,1,0.000227,0.000227
矣,r,2,0.000454,0.000454
猛,d,1,0.000227,0.000227
齐,d,1,0.000227,0.000227
各,r,2,0.000454,0.000454
可,c,1,0.000227,0.000227
徒,d,1,0.000227,0.000227
先,d,8,0.001814,0.001814
欲,d,5,0.001134,0.001134
又,c,2,0.000454,0.000454
自,d,1,0.000227,0.000227
乃,c,3,0.000680,0.000680
俱,d,1,0.000227,0.000227
诸,r,1,0.000227,0.000227
因,p,1,0.000227,0.000227
才,d,1,0.000227,0.000227
岂,d,3,0.000680,0.000680
和,c,1,0.000227,0.000227
凡,d,1,0.000227,0.000227
勿,d,2,0.000454,0.000454
尔,r,1,0.000227,0.000227
此,r,5,0.001134,0.001134
同,p,1,0.000227,0.000227
至,p,1,0.000227,0.000227
