Word,PoS,Total Count,Word Frequency,Unary Probability
之,u,121,0.031073,0.031073
所,u,14,0.003595,0.003595
以,p,84,0.021572,0.021572
于,p,44,0.011299,0.011299
余,r,2,0.000514,0.000514
不,d,101,0.025937,0.025937
对,p,13,0.003338,0.003338
而,c,83,0.021315,0.021315
和,c,1,0.000257,0.000257
若,c,8,0.002054,0.002054
其,r,60,0.015408,0.015408
莫,d,7,0.001798,0.001798
共,d,4,0.001027,0.001027
将,d,6,0.001541,0.001541
独,d,2,0.000514,0.000514
也,u,103,0.026451,0.026451
将,p,3,0.000770,0.000770
何,r,9,0.002311,0.002311
故,c,11,0.002825,0.002825
本,r,1,0.000257,0.000257
必,d,11,0.002825,0.002825
之,r,47,0.012070,0.012070
矣,u,26,0.006677,0.006677
及,c,9,0.002311,0.002311
焉,u,10,0.002568,0.002568
齐,d,5,0.001284,0.001284
相,d,6,0.001541,0.001541
终,d,1,0.000257,0.000257
则,d,3,0.000770,0.000770
非,d,4,0.001027,0.001027
先,d,6,0.001541,0.001541
又,d,5,0.001284,0.001284
遂,d,2,0.000514,0.000514
固,d,1,0.000257,0.000257
已,d,2,0.000514,0.000514
亦,d,17,0.004366,0.004366
从,p,4,0.001027,0.001027
则,c,6,0.001541,0.001541
为,p,13,0.003338,0.003338
谁,r,3,0.000770,0.000770
也,d,3,0.000770,0.000770
者,r,8,0.002054,0.002054
乎,u,14,0.003595,0.003595
在,p,4,0.001027,0.001027
我,r,9,0.002311,0.002311
与,c,3,0.000770,0.000770
岂,d,1,0.000257,0.000257
唯,d,3,0.000770,0.000770
与,p,4,0.001027,0.001027
永,d,1,0.000257,0.000257
欲,d,10,0.002568,0.002568
己,r,2,0.000514,0.000514
此,r,2,0.000514,0.000514
者,u,1,0.000257,0.000257
且,c,5,0.001284,0.001284
皆,d,5,0.001284,0.001284
既,c,2,0.000514,0.000514
哉,u,1,0.000257,0.000257
以,c,1,0.000257,0.000257
除,p,1,0.000257,0.000257
焉,r,4,0.001027,0.001027
凡,d,1,0.000257,0.000257
兹,r,1,0.000257,0.000257
多,d,1,0.000257,0.000257
吾,r,11,0.002825,0.002825
更,d,2,0.000514,0.000514
常,d,2,0.000514,0.000514
等,u,1,0.000257,0.000257
各,r,1,0.000257,0.000257
犹,d,2,0.000514,0.000514
自,p,2,0.000514,0.000514
未,d,3,0.000770,0.000770
乃,c,1,0.000257,0.000257
甚,d,1,0.000257,0.000257
自,r,1,0.000257,0.000257
用,p,3,0.000770,0.000770
方,d,1,0.000257,0.000257
别,d,1,0.000257,0.000257
耶,u,1,0.000257,0.000257
重,d,1,0.000257,0.000257
恐,d,1,0.000257,0.000257
因,p,2,0.000514,0.000514
夫,u,1,0.000257,0.000257
益,d,1,0.000257,0.000257
每,r,1,0.000257,0.000257
它,r,1,0.000257,0.000257
然,c,1,0.000257,0.000257
