Word,PoS,Total Count,Word Frequency,Unary Probability
自,p,1,0.000245,0.000245
于,p,82,0.020078,0.020078
之,u,106,0.025955,0.025955
也,u,32,0.007835,0.007835
不,d,68,0.016650,0.016650
则,c,17,0.004163,0.004163
若,c,5,0.001224,0.001224
必,d,8,0.001959,0.001959
则,d,11,0.002693,0.002693
所,u,9,0.002204,0.002204
其,r,75,0.018364,0.018364
乎,u,4,0.000979,0.000979
皆,d,4,0.000979,0.000979
焉,u,25,0.006121,0.006121
以,p,95,0.023262,0.023262
对,p,24,0.005877,0.005877
为,p,21,0.005142,0.005142
而,c,97,0.023751,0.023751
之,r,42,0.010284,0.010284
犹,d,1,0.000245,0.000245
何,r,19,0.004652,0.004652
诸,r,5,0.001224,0.001224
吾,r,8,0.001959,0.001959
将,d,3,0.000735,0.000735
矣,u,12,0.002938,0.002938
在,p,3,0.000735,0.000735
欲,d,9,0.002204,0.002204
故,c,28,0.006856,0.006856
此,r,4,0.000979,0.000979
非,d,1,0.000245,0.000245
彼,r,1,0.000245,0.000245
齐,d,3,0.000735,0.000735
比,p,3,0.000735,0.000735
与,p,12,0.002938,0.002938
焉,r,9,0.002204,0.002204
唯,d,2,0.000490,0.000490
本,r,1,0.000245,0.000245
勿,d,2,0.000490,0.000490
就,d,3,0.000735,0.000735
相,d,11,0.002693,0.002693
以,c,4,0.000979,0.000979
及,c,2,0.000490,0.000490
者,r,6,0.001469,0.001469
足,d,6,0.001469,0.001469
已,d,7,0.001714,0.001714
遂,d,8,0.001959,0.001959
既,c,3,0.000735,0.000735
正,d,3,0.000735,0.000735
亦,d,1,0.000245,0.000245
连,u,3,0.000735,0.000735
同,p,1,0.000245,0.000245
同,d,6,0.001469,0.001469
共,d,1,0.000245,0.000245
和,c,1,0.000245,0.000245
也,d,1,0.000245,0.000245
方,d,2,0.000490,0.000490
莫,d,7,0.001714,0.001714
又,d,6,0.001469,0.001469
且,c,2,0.000490,0.000490
复,d,1,0.000245,0.000245
我,r,2,0.000490,0.000490
惟,d,1,0.000245,0.000245
可,d,3,0.000735,0.000735
各,r,4,0.000979,0.000979
尔,r,4,0.000979,0.000979
或,c,1,0.000245,0.000245
独,d,1,0.000245,0.000245
再,d,1,0.000245,0.000245
未,d,1,0.000245,0.000245
重,d,1,0.000245,0.000245
先,d,2,0.000490,0.000490
至,p,1,0.000245,0.000245
甚,d,1,0.000245,0.000245
多,d,1,0.000245,0.000245
汝,r,1,0.000245,0.000245
与,c,3,0.000735,0.000735
反,d,1,0.000245,0.000245
余,r,1,0.000245,0.000245
自,r,1,0.000245,0.000245
恐,d,1,0.000245,0.000245
己,r,3,0.000735,0.000735
就,p,1,0.000245,0.000245
兹,r,1,0.000245,0.000245
