Word,PoS,Total Count,Word Frequency,Unary Probability
之,r,46,0.008587,0.008587
之,u,142,0.026507,0.026507
与,c,2,0.000373,0.000373
唯,d,8,0.001493,0.001493
所,u,12,0.002240,0.002240
其,r,71,0.013254,0.013254
于,p,104,0.019414,0.019414
而,c,87,0.016240,0.016240
也,u,54,0.010080,0.010080
必,d,16,0.002987,0.002987
焉,u,12,0.002240,0.002240
不,d,127,0.023707,0.023707
以,p,157,0.029307,0.029307
约,d,3,0.000560,0.000560
吾,r,36,0.006720,0.006720
若,c,14,0.002613,0.002613
将,d,29,0.005413,0.005413
然,c,3,0.000560,0.000560
乃,c,6,0.001120,0.001120
矣,u,21,0.003920,0.003920
者,r,7,0.001307,0.001307
又,d,11,0.002053,0.002053
乎,u,12,0.002240,0.002240
用,p,4,0.000747,0.000747
随,p,1,0.000187,0.000187
诸,r,4,0.000747,0.000747
岂,d,7,0.001307,0.001307
亦,d,9,0.001680,0.001680
既,c,16,0.002987,0.002987
以,c,11,0.002053,0.002053
则,c,22,0.004107,0.004107
何,r,11,0.002053,0.002053
反,d,1,0.000187,0.000187
非,d,2,0.000373,0.000373
还,d,1,0.000187,0.000187
固,d,3,0.000560,0.000560
故,c,1,0.000187,0.000187
从,p,3,0.000560,0.000560
自,r,5,0.000933,0.000933
然后,c,1,0.000187,0.000187
及,c,3,0.000560,0.000560
为,p,11,0.002053,0.002053
曾,d,1,0.000187,0.000187
足,d,4,0.000747,0.000747
将,p,3,0.000560,0.000560
在,p,7,0.001307,0.001307
也,d,4,0.000747,0.000747
然,r,4,0.000747,0.000747
此,r,20,0.003733,0.003733
哉,u,5,0.000933,0.000933
余,r,5,0.000933,0.000933
很,d,1,0.000187,0.000187
皆,d,14,0.002613,0.002613
犹,d,1,0.000187,0.000187
遂,d,9,0.001680,0.001680
斯,r,1,0.000187,0.000187
自,d,1,0.000187,0.000187
对,p,9,0.001680,0.001680
骤,d,1,0.000187,0.000187
边,d,1,0.000187,0.000187
与,p,11,0.002053,0.002053
先,d,8,0.001493,0.001493
孰,r,1,0.000187,0.000187
正,d,1,0.000187,0.000187
我,r,21,0.003920,0.003920
须,d,1,0.000187,0.000187
愈,d,2,0.000373,0.000373
恐,d,2,0.000373,0.000373
就,p,2,0.000373,0.000373
焉,r,2,0.000373,0.000373
欲,d,5,0.000933,0.000933
彼,r,3,0.000560,0.000560
各,r,1,0.000187,0.000187
常,d,1,0.000187,0.000187
就,d,2,0.000373,0.000373
尽,d,1,0.000187,0.000187
莫,d,7,0.001307,0.001307
徒,d,3,0.000560,0.000560
则,d,3,0.000560,0.000560
兹,r,1,0.000187,0.000187
己,r,1,0.000187,0.000187
共,d,3,0.000560,0.000560
相,d,2,0.000373,0.000373
复,d,1,0.000187,0.000187
同,p,1,0.000187,0.000187
已,d,4,0.000747,0.000747
至,p,1,0.000187,0.000187
未,d,3,0.000560,0.000560
向,p,2,0.000373,0.000373
自,p,2,0.000373,0.000373
因,p,1,0.000187,0.000187
凡,d,1,0.000187,0.000187
