Word,PoS,Total Count,Word Frequency,Unary Probability
于,p,27,0.019438,0.019438
之,u,61,0.043916,0.043916
凡,d,1,0.000720,0.000720
我,r,2,0.001440,0.001440
及,c,2,0.001440,0.001440
而,c,19,0.013679,0.013679
吾,r,9,0.006479,0.006479
与,p,8,0.005760,0.005760
之,r,26,0.018719,0.018719
则,d,6,0.004320,0.004320
则,c,2,0.001440,0.001440
以,p,15,0.010799,0.010799
也,u,29,0.020878,0.020878
然,c,1,0.000720,0.000720
与,c,3,0.002160,0.002160
不,d,32,0.023038,0.023038
必,d,8,0.005760,0.005760
既,c,2,0.001440,0.001440
然后,c,2,0.001440,0.001440
乎,u,8,0.005760,0.005760
何,r,3,0.002160,0.002160
其,r,37,0.026638,0.026638
遂,d,2,0.001440,0.001440
所,u,6,0.004320,0.004320
足,d,2,0.001440,0.001440
矣,u,6,0.004320,0.004320
以,c,2,0.001440,0.001440
从,p,1,0.000720,0.000720
唯,d,1,0.000720,0.000720
若,c,3,0.002160,0.002160
将,d,8,0.005760,0.005760
乃,c,1,0.000720,0.000720
偶,r,1,0.000720,0.000720
即,d,1,0.000720,0.000720
此,r,7,0.005040,0.005040
孰,r,2,0.001440,0.001440
欲,d,1,0.000720,0.000720
也,d,1,0.000720,0.000720
已,d,4,0.002880,0.002880
又,c,1,0.000720,0.000720
者,r,4,0.002880,0.002880
又,d,5,0.003600,0.003600
焉,u,1,0.000720,0.000720
更,d,1,0.000720,0.000720
俱,d,1,0.000720,0.000720
亦,d,2,0.001440,0.001440
犹,d,1,0.000720,0.000720
常,d,1,0.000720,0.000720
果,d,1,0.000720,0.000720
皆,d,1,0.000720,0.000720
故,c,1,0.000720,0.000720
对,p,2,0.001440,0.001440
先,d,1,0.000720,0.000720
汝,r,1,0.000720,0.000720
余,r,1,0.000720,0.000720
