Word,PoS,Total Count,Word Frequency,Unary Probability
之,u,219,0.035884,0.035884
其,r,111,0.018188,0.018188
及,c,24,0.003932,0.003932
何,r,19,0.003113,0.003113
焉,u,17,0.002786,0.002786
将,d,18,0.002949,0.002949
与,c,3,0.000492,0.000492
乎,u,23,0.003769,0.003769
不,d,126,0.020646,0.020646
于,p,67,0.010978,0.010978
故,c,26,0.004260,0.004260
也,d,12,0.001966,0.001966
对,p,6,0.000983,0.000983
吾,r,13,0.002130,0.002130
非,d,8,0.001311,0.001311
焉,r,8,0.001311,0.001311
而,c,108,0.017696,0.017696
矣,u,27,0.004424,0.004424
必,d,37,0.006063,0.006063
也,u,165,0.027036,0.027036
以,p,134,0.021956,0.021956
足,d,5,0.000819,0.000819
从,p,10,0.001639,0.001639
之,r,71,0.011634,0.011634
相,d,3,0.000492,0.000492
在,p,16,0.002622,0.002622
皆,d,11,0.001802,0.001802
则,c,28,0.004588,0.004588
既,c,3,0.000492,0.000492
则,d,14,0.002294,0.002294
谁,r,2,0.000328,0.000328
亦,d,10,0.001639,0.001639
与,p,6,0.000983,0.000983
唯,d,5,0.000819,0.000819
且,c,9,0.001475,0.001475
以,c,5,0.000819,0.000819
和,c,19,0.003113,0.003113
所,u,40,0.006554,0.006554
此,r,9,0.001475,0.001475
经,p,1,0.000164,0.000164
又,d,13,0.002130,0.002130
终,d,5,0.000819,0.000819
为,p,10,0.001639,0.001639
再,d,1,0.000164,0.000164
仍,d,1,0.000164,0.000164
欲,d,7,0.001147,0.001147
然,c,2,0.000328,0.000328
并,c,1,0.000164,0.000164
遂,d,4,0.000655,0.000655
共,d,3,0.000492,0.000492
莫,d,6,0.000983,0.000983
岂,d,2,0.000328,0.000328
犹,d,5,0.000819,0.000819
若,c,11,0.001802,0.001802
者,r,4,0.000655,0.000655
乃,c,2,0.000328,0.000328
自,p,4,0.000655,0.000655
我,r,6,0.000983,0.000983
自,r,2,0.000328,0.000328
仅,d,1,0.000164,0.000164
将,p,7,0.001147,0.001147
方,d,2,0.000328,0.000328
未,d,3,0.000492,0.000492
或,c,2,0.000328,0.000328
由,p,2,0.000328,0.000328
比,p,3,0.000492,0.000492
哉,u,2,0.000328,0.000328
齐,d,1,0.000164,0.000164
乎,p,6,0.000983,0.000983
多,d,1,0.000164,0.000164
用,p,3,0.000492,0.000492
至,p,1,0.000164,0.000164
先,d,2,0.000328,0.000328
彼,r,1,0.000164,0.000164
重,d,1,0.000164,0.000164
甚,d,2,0.000328,0.000328
正,d,3,0.000492,0.000492
诸,r,1,0.000164,0.000164
各,r,1,0.000164,0.000164
尚,d,4,0.000655,0.000655
常,d,1,0.000164,0.000164
极,d,1,0.000164,0.000164
和,p,1,0.000164,0.000164
然后,c,1,0.000164,0.000164
同,p,1,0.000164,0.000164
自,d,2,0.000328,0.000328
己,r,2,0.000328,0.000328
永,d,1,0.000164,0.000164
已,d,1,0.000164,0.000164
然,r,2,0.000328,0.000328
尽,d,1,0.000164,0.000164
即,d,1,0.000164,0.000164
如,c,2,0.000328,0.000328
孰,r,1,0.000164,0.000164
否,u,1,0.000164,0.000164
