Word,PoS,Total Count,Word Frequency,Unary Probability
也,u,245,0.013216,0.013216
而,c,290,0.015644,0.015644
之,u,382,0.020606,0.020606
以,p,271,0.014619,0.014619
于,p,280,0.015104,0.015104
乎,p,3,0.000162,0.000162
因,p,12,0.000647,0.000647
将,d,91,0.004909,0.004909
之,r,285,0.015374,0.015374
不,d,337,0.018179,0.018179
莫,d,5,0.000270,0.000270
自,r,15,0.000809,0.000809
焉,u,92,0.004963,0.004963
为,p,24,0.001295,0.001295
除,p,5,0.000270,0.000270
其,r,183,0.009872,0.009872
诸,r,28,0.001510,0.001510
复,d,9,0.000485,0.000485
或,c,19,0.001025,0.001025
亦,d,26,0.001403,0.001403
乎,u,62,0.003344,0.003344
同,p,4,0.000216,0.000216
又,d,33,0.001780,0.001780
已,d,9,0.000485,0.000485
在,p,36,0.001942,0.001942
以,c,11,0.000593,0.000593
必,d,53,0.002859,0.002859
矣,u,69,0.003722,0.003722
及,c,48,0.002589,0.002589
焉,r,19,0.001025,0.001025
从,p,45,0.002427,0.002427
也,d,30,0.001618,0.001618
未,d,17,0.000917,0.000917
若,c,43,0.002320,0.002320
何,r,74,0.003992,0.003992
对,p,36,0.001942,0.001942
犹,d,12,0.000647,0.000647
正,d,5,0.000270,0.000270
先,d,19,0.001025,0.001025
皆,d,24,0.001295,0.001295
惟,d,2,0.000108,0.000108
我,r,55,0.002967,0.002967
甚,d,4,0.000216,0.000216
相,d,7,0.000378,0.000378
共,d,11,0.000593,0.000593
所,u,32,0.001726,0.001726
与,c,25,0.001349,0.001349
与,p,61,0.003291,0.003291
常,d,10,0.000539,0.000539
自,p,16,0.000863,0.000863
故,c,29,0.001564,0.001564
余,r,8,0.000432,0.000432
足,d,1,0.000054,0.000054
且,c,28,0.001510,0.001510
吾,r,34,0.001834,0.001834
遂,d,32,0.001726,0.001726
彼,r,9,0.000485,0.000485
欲,d,25,0.001349,0.001349
经,p,1,0.000054,0.000054
此,r,19,0.001025,0.001025
自,d,2,0.000108,0.000108
齐,d,15,0.000809,0.000809
既,c,10,0.000539,0.000539
者,r,13,0.000701,0.000701
则,c,32,0.001726,0.001726
还,d,4,0.000216,0.000216
己,r,9,0.000485,0.000485
然,r,9,0.000485,0.000485
每,r,3,0.000162,0.000162
尽,d,4,0.000216,0.000216
就,d,2,0.000108,0.000108
然,c,4,0.000216,0.000216
则,d,15,0.000809,0.000809
再,d,3,0.000162,0.000162
又,c,2,0.000108,0.000108
弗,d,1,0.000054,0.000054
哉,u,7,0.000378,0.000378
谁,r,7,0.000378,0.000378
否则,c,1,0.000054,0.000054
唯,d,11,0.000593,0.000593
岂,d,9,0.000485,0.000485
由,p,6,0.000324,0.000324
将,p,15,0.000809,0.000809
尔,r,3,0.000162,0.000162
斯,r,1,0.000054,0.000054
方,d,4,0.000216,0.000216
须,d,1,0.000054,0.000054
非,d,6,0.000324,0.000324
可,c,1,0.000054,0.000054
用,p,1,0.000054,0.000054
徒,d,4,0.000216,0.000216
约,d,1,0.000054,0.000054
夫,u,1,0.000054,0.000054
兹,r,1,0.000054,0.000054
至,p,3,0.000162,0.000162
勿,d,4,0.000216,0.000216
向,p,3,0.000162,0.000162
兮,u,2,0.000108,0.000108
然后,c,1,0.000054,0.000054
骤,d,1,0.000054,0.000054
并,c,1,0.000054,0.000054
即,d,1,0.000054,0.000054
至,d,2,0.000108,0.000108
乃,c,4,0.000216,0.000216
终,d,2,0.000108,0.000108
固,d,1,0.000054,0.000054
重,d,2,0.000108,0.000108
殆,d,1,0.000054,0.000054
直,d,1,0.000054,0.000054
当,p,1,0.000054,0.000054
汝,r,1,0.000054,0.000054
在,d,2,0.000108,0.000108
比,p,1,0.000054,0.000054
始,d,2,0.000108,0.000108
