Word,PoS,Total Count,Word Frequency,Unary Probability
于,p,280,0.016102,0.016102
将,d,67,0.003853,0.003853
遂,d,32,0.001840,0.001840
之,r,200,0.011502,0.011502
而,c,271,0.015585,0.015585
此,r,24,0.001380,0.001380
必,d,54,0.003105,0.003105
不,d,334,0.019208,0.019208
将,p,12,0.000690,0.000690
何,r,57,0.003278,0.003278
以,p,284,0.016332,0.016332
吾,r,43,0.002473,0.002473
齐,d,8,0.000460,0.000460
我,r,73,0.004198,0.004198
与,c,15,0.000863,0.000863
同,p,11,0.000633,0.000633
也,u,294,0.016907,0.016907
以,c,17,0.000978,0.000978
之,u,394,0.022658,0.022658
焉,u,49,0.002818,0.002818
勿,d,3,0.000173,0.000173
及,c,52,0.002990,0.002990
向,p,8,0.000460,0.000460
与,p,40,0.002300,0.002300
欲,d,19,0.001093,0.001093
其,r,206,0.011847,0.011847
若,c,30,0.001725,0.001725
则,c,24,0.001380,0.001380
既,c,14,0.000805,0.000805
矣,u,74,0.004256,0.004256
皆,d,29,0.001668,0.001668
又,d,22,0.001265,0.001265
且,c,32,0.001840,0.001840
甚,d,7,0.000403,0.000403
唯,d,21,0.001208,0.001208
所,u,33,0.001898,0.001898
从,p,46,0.002645,0.002645
也,d,22,0.001265,0.001265
已,d,17,0.000978,0.000978
还,d,5,0.000288,0.000288
亦,d,35,0.002013,0.002013
先,d,18,0.001035,0.001035
故,c,30,0.001725,0.001725
对,p,32,0.001840,0.001840
本,d,1,0.000058,0.000058
焉,r,10,0.000575,0.000575
余,r,8,0.000460,0.000460
未,d,12,0.000690,0.000690
自,p,15,0.000863,0.000863
岂,d,10,0.000575,0.000575
然,c,2,0.000115,0.000115
在,p,24,0.001380,0.001380
固,d,3,0.000173,0.000173
己,r,6,0.000345,0.000345
为,p,33,0.001898,0.001898
者,r,9,0.000518,0.000518
乎,u,53,0.003048,0.003048
每,r,2,0.000115,0.000115
可,c,1,0.000058,0.000058
然,r,11,0.000633,0.000633
则,d,7,0.000403,0.000403
用,p,9,0.000518,0.000518
重,d,20,0.001150,0.001150
乎,p,6,0.000345,0.000345
常,d,3,0.000173,0.000173
多,d,1,0.000058,0.000058
自,r,12,0.000690,0.000690
因,p,3,0.000173,0.000173
诸,r,20,0.001150,0.001150
共,d,12,0.000690,0.000690
哉,u,4,0.000230,0.000230
彼,r,4,0.000230,0.000230
尔,r,5,0.000288,0.000288
夫,u,4,0.000230,0.000230
犹,d,15,0.000863,0.000863
莫,d,8,0.000460,0.000460
尽,d,4,0.000230,0.000230
谁,r,10,0.000575,0.000575
相,d,12,0.000690,0.000690
才,d,2,0.000115,0.000115
即,d,1,0.000058,0.000058
各,r,4,0.000230,0.000230
惟,d,3,0.000173,0.000173
可,d,2,0.000115,0.000115
至,p,5,0.000288,0.000288
足,d,1,0.000058,0.000058
复,d,6,0.000345,0.000345
或,c,5,0.000288,0.000288
同,d,2,0.000115,0.000115
乃,c,2,0.000115,0.000115
始,d,3,0.000173,0.000173
孰,r,5,0.000288,0.000288
斯,r,2,0.000115,0.000115
凡,d,5,0.000288,0.000288
又,c,2,0.000115,0.000115
焉,d,2,0.000115,0.000115
和,c,2,0.000115,0.000115
更,d,1,0.000058,0.000058
骤,d,3,0.000173,0.000173
极,d,2,0.000115,0.000115
由,p,1,0.000058,0.000058
自,d,1,0.000058,0.000058
再,d,3,0.000173,0.000173
独,d,1,0.000058,0.000058
乎,d,1,0.000058,0.000058
汝,r,1,0.000058,0.000058
恐,d,1,0.000058,0.000058
兹,r,1,0.000058,0.000058
并,c,1,0.000058,0.000058
