Word,PoS,Total Count,Word Frequency,Unary Probability
之,u,198,0.018327,0.018327
于,p,211,0.019530,0.019530
将,d,55,0.005091,0.005091
以,p,174,0.016105,0.016105
而,c,172,0.015920,0.015920
也,u,161,0.014902,0.014902
必,d,50,0.004628,0.004628
不,d,171,0.015827,0.015827
其,r,114,0.010552,0.010552
乎,u,26,0.002407,0.002407
及,c,28,0.002592,0.002592
焉,r,14,0.001296,0.001296
未,d,9,0.000833,0.000833
吾,r,32,0.002962,0.002962
我,r,41,0.003795,0.003795
故,c,14,0.001296,0.001296
凡,d,3,0.000278,0.000278
各,r,2,0.000185,0.000185
若,c,32,0.002962,0.002962
从,p,35,0.003240,0.003240
亦,d,18,0.001666,0.001666
唯,d,18,0.001666,0.001666
何,r,34,0.003147,0.003147
为,p,24,0.002221,0.002221
纵,c,1,0.000093,0.000093
之,r,171,0.015827,0.015827
诸,r,16,0.001481,0.001481
矣,u,32,0.002962,0.002962
且,c,13,0.001203,0.001203
己,r,7,0.000648,0.000648
此,r,14,0.001296,0.001296
齐,d,7,0.000648,0.000648
皆,d,24,0.002221,0.002221
欲,d,15,0.001388,0.001388
与,p,37,0.003425,0.003425
焉,u,36,0.003332,0.003332
则,c,10,0.000926,0.000926
对,p,10,0.000926,0.000926
与,c,13,0.001203,0.001203
者,r,12,0.001111,0.001111
自,p,10,0.000926,0.000926
自,r,7,0.000648,0.000648
将,p,14,0.001296,0.001296
又,d,25,0.002314,0.002314
或,c,5,0.000463,0.000463
以,c,12,0.001111,0.001111
在,p,19,0.001759,0.001759
自,d,3,0.000278,0.000278
遂,d,9,0.000833,0.000833
先,d,21,0.001944,0.001944
常,d,12,0.001111,0.001111
共,d,4,0.000370,0.000370
余,r,9,0.000833,0.000833
所,u,17,0.001573,0.001573
方,d,3,0.000278,0.000278
乎,d,1,0.000093,0.000093
犹,d,9,0.000833,0.000833
否,u,1,0.000093,0.000093
相,d,6,0.000555,0.000555
用,p,9,0.000833,0.000833
因,p,5,0.000463,0.000463
然,r,5,0.000463,0.000463
尚,d,4,0.000370,0.000370
徒,d,3,0.000278,0.000278
尔,r,2,0.000185,0.000185
岂,d,4,0.000370,0.000370
哉,u,3,0.000278,0.000278
非,d,7,0.000648,0.000648
可,c,2,0.000185,0.000185
甚,d,1,0.000093,0.000093
复,d,2,0.000185,0.000185
因,c,1,0.000093,0.000093
还,d,6,0.000555,0.000555
直,d,2,0.000185,0.000185
既,c,7,0.000648,0.000648
独,d,1,0.000093,0.000093
别,d,1,0.000093,0.000093
莫,d,1,0.000093,0.000093
谁,r,8,0.000740,0.000740
也,d,6,0.000555,0.000555
已,d,5,0.000463,0.000463
由,p,5,0.000463,0.000463
随,p,1,0.000093,0.000093
约,d,2,0.000185,0.000185
即,d,1,0.000093,0.000093
彼,r,2,0.000185,0.000185
终,d,3,0.000278,0.000278
则,d,5,0.000463,0.000463
弗,d,3,0.000278,0.000278
乃,c,3,0.000278,0.000278
乎,p,2,0.000185,0.000185
然,c,5,0.000463,0.000463
猛,d,6,0.000555,0.000555
更,d,2,0.000185,0.000185
向,p,1,0.000093,0.000093
勿,d,2,0.000185,0.000185
兹,r,3,0.000278,0.000278
尽,d,4,0.000370,0.000370
果,d,1,0.000093,0.000093
每,r,1,0.000093,0.000093
始,d,1,0.000093,0.000093
在,d,1,0.000093,0.000093
比,p,1,0.000093,0.000093
同,p,1,0.000093,0.000093
再,d,1,0.000093,0.000093
故,d,1,0.000093,0.000093
多,d,1,0.000093,0.000093
