Word,PoS,Total Count,Word Frequency,Unary Probability
于,p,114,0.022423,0.022423
之,r,71,0.013965,0.013965
以,p,102,0.020063,0.020063
为,p,10,0.001967,0.001967
也,u,115,0.022620,0.022620
及,c,19,0.003737,0.003737
凡,d,5,0.000983,0.000983
之,u,94,0.018489,0.018489
而,c,72,0.014162,0.014162
其,r,69,0.013572,0.013572
遂,d,11,0.002164,0.002164
故,c,26,0.005114,0.005114
先,d,9,0.001770,0.001770
不,d,68,0.013375,0.013375
因,p,2,0.000393,0.000393
则,c,11,0.002164,0.002164
然,r,4,0.000787,0.000787
已,d,3,0.000590,0.000590
皆,d,7,0.001377,0.001377
相,d,3,0.000590,0.000590
将,p,2,0.000393,0.000393
犹,d,3,0.000590,0.000590
或,c,2,0.000393,0.000393
乎,u,9,0.001770,0.001770
以,c,3,0.000590,0.000590
又,d,8,0.001574,0.001574
何,r,12,0.002360,0.002360
焉,u,18,0.003541,0.003541
由,p,1,0.000197,0.000197
在,p,3,0.000590,0.000590
孰,r,2,0.000393,0.000393
甚,d,2,0.000393,0.000393
将,d,19,0.003737,0.003737
至,p,2,0.000393,0.000393
自,r,4,0.000787,0.000787
自,p,3,0.000590,0.000590
哉,u,1,0.000197,0.000197
则,d,7,0.001377,0.001377
始,d,3,0.000590,0.000590
矣,u,10,0.001967,0.001967
吾,r,9,0.001770,0.001770
本,d,1,0.000197,0.000197
各,r,3,0.000590,0.000590
等,u,1,0.000197,0.000197
本,r,1,0.000197,0.000197
既,c,4,0.000787,0.000787
亦,d,3,0.000590,0.000590
诸,r,9,0.001770,0.001770
自,d,1,0.000197,0.000197
齐,d,4,0.000787,0.000787
再,d,2,0.000393,0.000393
欲,d,4,0.000787,0.000787
莫,d,12,0.002360,0.002360
若,c,3,0.000590,0.000590
必,d,13,0.002557,0.002557
固,d,2,0.000393,0.000393
从,p,6,0.001180,0.001180
足,d,3,0.000590,0.000590
且,c,7,0.001377,0.001377
仍,d,1,0.000197,0.000197
比,p,2,0.000393,0.000393
我,r,10,0.001967,0.001967
彼,r,1,0.000197,0.000197
方,d,1,0.000197,0.000197
所,u,9,0.001770,0.001770
正,d,1,0.000197,0.000197
对,p,4,0.000787,0.000787
和,c,2,0.000393,0.000393
乎,p,1,0.000197,0.000197
独,d,1,0.000197,0.000197
未,d,2,0.000393,0.000393
同,d,1,0.000197,0.000197
与,c,1,0.000197,0.000197
终,d,1,0.000197,0.000197
与,p,8,0.001574,0.001574
同,p,1,0.000197,0.000197
向,p,4,0.000787,0.000787
随,p,2,0.000393,0.000393
唯,d,1,0.000197,0.000197
非,d,1,0.000197,0.000197
此,r,3,0.000590,0.000590
共,d,1,0.000197,0.000197
用,p,2,0.000393,0.000393
岂,d,1,0.000197,0.000197
尽,d,1,0.000197,0.000197
己,r,1,0.000197,0.000197
复,d,1,0.000197,0.000197
并,c,1,0.000197,0.000197
