Word,PoS,Total Count,Word Frequency,Unary Probability
不,d,39,0.020041,0.020041
也,u,42,0.021583,0.021583
于,p,24,0.012333,0.012333
岂,d,1,0.000514,0.000514
此,r,3,0.001542,0.001542
之,u,51,0.026208,0.026208
以,p,28,0.014388,0.014388
从,p,8,0.004111,0.004111
及,c,7,0.003597,0.003597
之,r,39,0.020041,0.020041
齐,d,1,0.000514,0.000514
亦,d,2,0.001028,0.001028
未,d,2,0.001028,0.001028
已,d,3,0.001542,0.001542
若,c,1,0.000514,0.000514
何,r,5,0.002569,0.002569
而,c,21,0.010791,0.010791
对,p,3,0.001542,0.001542
将,d,8,0.004111,0.004111
其,r,27,0.013875,0.013875
乎,u,9,0.004625,0.004625
犹,d,3,0.001542,0.001542
所,u,3,0.001542,0.001542
本,d,2,0.001028,0.001028
必,d,6,0.003083,0.003083
先,d,9,0.004625,0.004625
因,c,1,0.000514,0.000514
重,d,1,0.000514,0.000514
为,p,6,0.003083,0.003083
矣,u,6,0.003083,0.003083
又,c,1,0.000514,0.000514
焉,r,3,0.001542,0.001542
与,p,6,0.003083,0.003083
且,c,3,0.001542,0.001542
以,c,2,0.001028,0.001028
比,p,1,0.000514,0.000514
孰,r,1,0.000514,0.000514
焉,u,4,0.002055,0.002055
足,d,1,0.000514,0.000514
遂,d,3,0.001542,0.001542
共,d,7,0.003597,0.003597
斯,r,1,0.000514,0.000514
故,c,7,0.003597,0.003597
与,c,4,0.002055,0.002055
在,p,4,0.002055,0.002055
又,d,3,0.001542,0.001542
同,p,1,0.000514,0.000514
皆,d,2,0.001028,0.001028
甚,d,1,0.000514,0.000514
我,r,1,0.000514,0.000514
至,p,1,0.000514,0.000514
则,d,6,0.003083,0.003083
诸,r,2,0.001028,0.001028
也,d,1,0.000514,0.000514
非,d,1,0.000514,0.000514
将,p,1,0.000514,0.000514
谁,r,1,0.000514,0.000514
吾,r,1,0.000514,0.000514
则,c,3,0.001542,0.001542
用,p,1,0.000514,0.000514
常,d,1,0.000514,0.000514
欲,d,1,0.000514,0.000514
并,c,1,0.000514,0.000514
方,d,1,0.000514,0.000514
