Word,PoS,Total Count,Word Frequency,Unary Probability
其,r,116,0.010723,0.010723
也,u,226,0.020891,0.020891
焉,u,26,0.002403,0.002403
也,d,9,0.000832,0.000832
必,d,21,0.001941,0.001941
于,p,207,0.019135,0.019135
之,u,262,0.024219,0.024219
终,d,5,0.000462,0.000462
则,d,13,0.001202,0.001202
不,d,206,0.019042,0.019042
则,c,22,0.002034,0.002034
及,c,39,0.003605,0.003605
既,c,10,0.000924,0.000924
而,c,145,0.013404,0.013404
先,d,29,0.002681,0.002681
且,c,33,0.003050,0.003050
从,p,20,0.001849,0.001849
之,r,142,0.013126,0.013126
共,d,6,0.000555,0.000555
更,d,1,0.000092,0.000092
我,r,18,0.001664,0.001664
以,p,197,0.018210,0.018210
故,c,26,0.002403,0.002403
将,d,30,0.002773,0.002773
未,d,5,0.000462,0.000462
又,d,19,0.001756,0.001756
在,p,19,0.001756,0.001756
若,c,9,0.000832,0.000832
何,r,40,0.003698,0.003698
勿,d,3,0.000277,0.000277
矣,u,27,0.002496,0.002496
诸,r,20,0.001849,0.001849
乎,u,25,0.002311,0.002311
与,c,4,0.000370,0.000370
始,d,2,0.000185,0.000185
凡,d,7,0.000647,0.000647
并,c,2,0.000185,0.000185
皆,d,19,0.001756,0.001756
复,d,13,0.001202,0.001202
遂,d,18,0.001664,0.001664
吾,r,13,0.001202,0.001202
所,u,15,0.001387,0.001387
与,p,30,0.002773,0.002773
非,d,9,0.000832,0.000832
亦,d,16,0.001479,0.001479
犹,d,11,0.001017,0.001017
重,d,1,0.000092,0.000092
尔,r,4,0.000370,0.000370
以,c,7,0.000647,0.000647
者,r,3,0.000277,0.000277
为,p,25,0.002311,0.002311
用,p,3,0.000277,0.000277
哉,u,3,0.000277,0.000277
自,d,2,0.000185,0.000185
惟,d,2,0.000185,0.000185
彼,r,2,0.000185,0.000185
此,r,13,0.001202,0.001202
又,c,2,0.000185,0.000185
对,p,6,0.000555,0.000555
自,p,7,0.000647,0.000647
即,d,1,0.000092,0.000092
余,r,1,0.000092,0.000092
至,p,2,0.000185,0.000185
自,r,5,0.000462,0.000462
由,p,3,0.000277,0.000277
本,r,1,0.000092,0.000092
常,d,2,0.000185,0.000185
极,d,2,0.000185,0.000185
同,p,2,0.000185,0.000185
将,p,8,0.000740,0.000740
焉,r,8,0.000740,0.000740
己,r,5,0.000462,0.000462
足,d,5,0.000462,0.000462
欲,d,7,0.000647,0.000647
乃,c,1,0.000092,0.000092
尽,d,4,0.000370,0.000370
乎,p,1,0.000092,0.000092
谁,r,4,0.000370,0.000370
和,c,2,0.000185,0.000185
才,d,2,0.000185,0.000185
唯,d,3,0.000277,0.000277
然,r,1,0.000092,0.000092
因,p,3,0.000277,0.000277
孰,r,1,0.000092,0.000092
已,d,1,0.000092,0.000092
正,d,1,0.000092,0.000092
莫,d,4,0.000370,0.000370
相,d,3,0.000277,0.000277
或,c,3,0.000277,0.000277
因,c,2,0.000185,0.000185
斯,r,1,0.000092,0.000092
独,d,1,0.000092,0.000092
齐,d,7,0.000647,0.000647
骤,d,1,0.000092,0.000092
焉,d,1,0.000092,0.000092
等,u,1,0.000092,0.000092
各,r,1,0.000092,0.000092
同,d,1,0.000092,0.000092
须,d,3,0.000277,0.000277
岂,d,2,0.000185,0.000185
尚,d,1,0.000092,0.000092
多,d,1,0.000092,0.000092
还,d,1,0.000092,0.000092
比,p,1,0.000092,0.000092
