Word,PoS,Total Count,Word Frequency,Unary Probability
不,d,375,0.019400,0.019400
也,u,362,0.018727,0.018727
之,r,251,0.012985,0.012985
遂,d,25,0.001293,0.001293
而,c,293,0.015158,0.015158
焉,u,80,0.004139,0.004139
于,p,311,0.016089,0.016089
之,u,433,0.022400,0.022400
凡,d,12,0.000621,0.000621
即,d,4,0.000207,0.000207
诸,r,12,0.000621,0.000621
及,c,57,0.002949,0.002949
自,r,7,0.000362,0.000362
以,p,307,0.015882,0.015882
也,d,14,0.000724,0.000724
为,p,35,0.001811,0.001811
已,d,11,0.000569,0.000569
甚,d,8,0.000414,0.000414
矣,u,84,0.004346,0.004346
从,p,46,0.002380,0.002380
所,u,36,0.001862,0.001862
与,p,44,0.002276,0.002276
吾,r,45,0.002328,0.002328
对,p,51,0.002638,0.002638
若,c,34,0.001759,0.001759
犹,d,20,0.001035,0.001035
且,c,52,0.002690,0.002690
将,d,68,0.003518,0.003518
既,c,17,0.000879,0.000879
则,c,29,0.001500,0.001500
亦,d,39,0.002018,0.002018
唯,d,15,0.000776,0.000776
先,d,22,0.001138,0.001138
齐,d,14,0.000724,0.000724
必,d,61,0.003156,0.003156
又,d,32,0.001655,0.001655
其,r,253,0.013088,0.013088
自,p,10,0.000517,0.000517
欲,d,21,0.001086,0.001086
我,r,50,0.002587,0.002587
未,d,15,0.000776,0.000776
与,c,18,0.000931,0.000931
何,r,88,0.004553,0.004553
尔,r,7,0.000362,0.000362
共,d,13,0.000673,0.000673
岂,d,9,0.000466,0.000466
同,d,2,0.000103,0.000103
此,r,28,0.001449,0.001449
谁,r,16,0.000828,0.000828
等,u,2,0.000103,0.000103
尚,d,1,0.000052,0.000052
由,p,3,0.000155,0.000155
或,c,5,0.000259,0.000259
焉,r,17,0.000879,0.000879
乎,u,71,0.003673,0.003673
皆,d,17,0.000879,0.000879
固,d,6,0.000310,0.000310
惟,d,5,0.000259,0.000259
将,p,16,0.000828,0.000828
焉,d,2,0.000103,0.000103
兹,r,3,0.000155,0.000155
故,c,29,0.001500,0.001500
则,d,14,0.000724,0.000724
方,d,2,0.000103,0.000103
又,c,6,0.000310,0.000310
复,d,8,0.000414,0.000414
再,d,1,0.000052,0.000052
乎,p,5,0.000259,0.000259
哉,u,7,0.000362,0.000362
在,p,28,0.001449,0.001449
更,d,1,0.000052,0.000052
以,c,11,0.000569,0.000569
乃,c,8,0.000414,0.000414
用,p,9,0.000466,0.000466
莫,d,12,0.000621,0.000621
者,r,18,0.000931,0.000931
非,d,7,0.000362,0.000362
勿,d,6,0.000310,0.000310
孰,r,3,0.000155,0.000155
恐,d,1,0.000052,0.000052
略,d,2,0.000103,0.000103
斯,r,1,0.000052,0.000052
然,r,8,0.000414,0.000414
重,d,6,0.000310,0.000310
同,p,1,0.000052,0.000052
尽,d,3,0.000155,0.000155
可,c,1,0.000052,0.000052
因,p,8,0.000414,0.000414
还,d,4,0.000207,0.000207
和,c,1,0.000052,0.000052
多,d,1,0.000052,0.000052
至,p,3,0.000155,0.000155
始,d,4,0.000207,0.000207
相,d,10,0.000517,0.000517
随,p,2,0.000103,0.000103
因,c,1,0.000052,0.000052
须,d,1,0.000052,0.000052
彼,r,4,0.000207,0.000207
己,r,6,0.000310,0.000310
就,p,1,0.000052,0.000052
足,d,2,0.000103,0.000103
除,p,2,0.000103,0.000103
至,d,1,0.000052,0.000052
余,r,2,0.000103,0.000103
边,d,1,0.000052,0.000052
向,p,1,0.000052,0.000052
果,d,1,0.000052,0.000052
备,d,1,0.000052,0.000052
直,d,1,0.000052,0.000052
每,r,2,0.000103,0.000103
自,d,3,0.000155,0.000155
然,c,1,0.000052,0.000052
