Word,PoS,Total Count,Word Frequency,Unary Probability
非,d,18,0.000425,0.000425
也,u,684,0.016152,0.016152
于,p,652,0.015396,0.015396
为,p,99,0.002338,0.002338
故,c,57,0.001346,0.001346
且,c,66,0.001558,0.001558
不,d,764,0.018041,0.018041
之,u,969,0.022881,0.022881
以,p,659,0.015561,0.015561
在,p,94,0.002220,0.002220
齐,d,23,0.000543,0.000543
其,r,592,0.013979,0.013979
自,p,31,0.000732,0.000732
及,c,102,0.002409,0.002409
之,r,633,0.014947,0.014947
然,c,13,0.000307,0.000307
凡,d,8,0.000189,0.000189
焉,u,151,0.003566,0.003566
正,d,13,0.000307,0.000307
皆,d,88,0.002078,0.002078
自,r,25,0.000590,0.000590
所,u,115,0.002716,0.002716
莫,d,20,0.000472,0.000472
矣,u,169,0.003991,0.003991
诸,r,43,0.001015,0.001015
若,c,62,0.001464,0.001464
与,c,46,0.001086,0.001086
谁,r,37,0.000874,0.000874
我,r,120,0.002834,0.002834
唯,d,34,0.000803,0.000803
欲,d,33,0.000779,0.000779
而,c,682,0.016104,0.016104
将,d,162,0.003825,0.003825
岂,d,20,0.000472,0.000472
复,d,20,0.000472,0.000472
多,d,7,0.000165,0.000165
重,d,7,0.000165,0.000165
兹,r,6,0.000142,0.000142
已,d,31,0.000732,0.000732
既,c,29,0.000685,0.000685
亦,d,75,0.001771,0.001771
遂,d,57,0.001346,0.001346
始,d,5,0.000118,0.000118
将,p,26,0.000614,0.000614
以,c,29,0.000685,0.000685
勿,d,8,0.000189,0.000189
又,d,64,0.001511,0.001511
对,p,68,0.001606,0.001606
也,d,53,0.001252,0.001252
孰,r,5,0.000118,0.000118
夫,u,4,0.000094,0.000094
同,p,13,0.000307,0.000307
和,c,12,0.000283,0.000283
何,r,150,0.003542,0.003542
必,d,119,0.002810,0.002810
斯,r,1,0.000024,0.000024
与,p,122,0.002881,0.002881
犹,d,40,0.000945,0.000945
哉,u,37,0.000874,0.000874
焉,r,37,0.000874,0.000874
乎,u,156,0.003684,0.003684
先,d,40,0.000945,0.000945
己,r,14,0.000331,0.000331
略,d,2,0.000047,0.000047
用,p,9,0.000213,0.000213
因,p,11,0.000260,0.000260
则,d,37,0.000874,0.000874
否则,c,2,0.000047,0.000047
乃,c,12,0.000283,0.000283
因,c,5,0.000118,0.000118
自,d,3,0.000071,0.000071
经,p,2,0.000047,0.000047
各,r,12,0.000283,0.000283
可,d,5,0.000118,0.000118
至,p,7,0.000165,0.000165
由,p,9,0.000213,0.000213
相,d,29,0.000685,0.000685
从,p,104,0.002456,0.002456
共,d,17,0.000401,0.000401
吾,r,104,0.002456,0.002456
故,d,4,0.000094,0.000094
才,d,5,0.000118,0.000118
尔,r,8,0.000189,0.000189
则,c,66,0.001558,0.001558
者,r,23,0.000543,0.000543
方,d,6,0.000142,0.000142
即,d,1,0.000024,0.000024
向,p,5,0.000118,0.000118
或,c,25,0.000590,0.000590
足,d,10,0.000236,0.000236
随,p,2,0.000047,0.000047
固,d,6,0.000142,0.000142
此,r,36,0.000850,0.000850
然,r,36,0.000850,0.000850
还,d,16,0.000378,0.000378
未,d,18,0.000425,0.000425
终,d,7,0.000165,0.000165
在,d,1,0.000024,0.000024
更,d,4,0.000094,0.000094
余,r,15,0.000354,0.000354
恐,d,1,0.000024,0.000024
彼,r,12,0.000283,0.000283
甚,d,16,0.000378,0.000378
弗,d,3,0.000071,0.000071
独,d,8,0.000189,0.000189
又,c,6,0.000142,0.000142
乎,p,5,0.000118,0.000118
惟,d,2,0.000047,0.000047
永,d,1,0.000024,0.000024
并,c,3,0.000071,0.000071
除,p,3,0.000071,0.000071
焉,d,2,0.000047,0.000047
益,d,1,0.000024,0.000024
徒,d,3,0.000071,0.000071
连,u,1,0.000024,0.000024
乎,d,1,0.000024,0.000024
比,p,4,0.000094,0.000094
曾,d,1,0.000024,0.000024
同,d,4,0.000094,0.000094
骤,d,2,0.000047,0.000047
常,d,8,0.000189,0.000189
等,u,2,0.000047,0.000047
每,r,1,0.000024,0.000024
再,d,3,0.000071,0.000071
至,d,2,0.000047,0.000047
别,d,1,0.000024,0.000024
和,p,1,0.000024,0.000024
兮,u,1,0.000024,0.000024
很,d,1,0.000024,0.000024
纵,c,1,0.000024,0.000024
者,u,2,0.000047,0.000047
尽,d,2,0.000047,0.000047
须,d,2,0.000047,0.000047
尚,d,1,0.000024,0.000024
就,d,1,0.000024,0.000024
直,d,1,0.000024,0.000024
是,r,2,0.000047,0.000047
愈,d,1,0.000024,0.000024
