Word,PoS,Total Count,Word Frequency,Unary Probability
遂,d,23,0.002208,0.002208
也,u,188,0.018051,0.018051
以,p,152,0.014594,0.014594
至,p,2,0.000192,0.000192
自,r,4,0.000384,0.000384
不,d,176,0.016899,0.016899
于,p,153,0.014690,0.014690
而,c,177,0.016995,0.016995
先,d,12,0.001152,0.001152
齐,d,6,0.000576,0.000576
之,u,240,0.023044,0.023044
为,p,9,0.000864,0.000864
及,c,45,0.004321,0.004321
又,d,18,0.001728,0.001728
将,d,27,0.002592,0.002592
皆,d,17,0.001632,0.001632
与,c,11,0.001056,0.001056
共,d,1,0.000096,0.000096
焉,u,26,0.002496,0.002496
我,r,30,0.002880,0.002880
必,d,27,0.002592,0.002592
之,r,145,0.013922,0.013922
吾,r,24,0.002304,0.002304
焉,r,5,0.000480,0.000480
故,c,18,0.001728,0.001728
其,r,121,0.011618,0.011618
与,p,24,0.002304,0.002304
孰,r,2,0.000192,0.000192
所,u,22,0.002112,0.002112
乎,u,36,0.003457,0.003457
以,c,12,0.001152,0.001152
然,r,5,0.000480,0.000480
对,p,10,0.000960,0.000960
既,c,12,0.001152,0.001152
则,d,9,0.000864,0.000864
则,c,17,0.001632,0.001632
从,p,22,0.002112,0.002112
何,r,30,0.002880,0.002880
彼,r,2,0.000192,0.000192
矣,u,47,0.004513,0.004513
莫,d,5,0.000480,0.000480
谁,r,6,0.000576,0.000576
者,r,9,0.000864,0.000864
岂,d,3,0.000288,0.000288
唯,d,10,0.000960,0.000960
惟,d,3,0.000288,0.000288
犹,d,10,0.000960,0.000960
尚,d,1,0.000096,0.000096
此,r,13,0.001248,0.001248
猛,d,1,0.000096,0.000096
且,c,13,0.001248,0.001248
否,u,1,0.000096,0.000096
未,d,8,0.000768,0.000768
正,d,1,0.000096,0.000096
自,p,4,0.000384,0.000384
亦,d,14,0.001344,0.001344
在,p,15,0.001440,0.001440
用,p,2,0.000192,0.000192
须,d,1,0.000096,0.000096
尽,d,3,0.000288,0.000288
己,r,5,0.000480,0.000480
余,r,3,0.000288,0.000288
才,d,2,0.000192,0.000192
或,c,6,0.000576,0.000576
向,p,2,0.000192,0.000192
凡,d,7,0.000672,0.000672
固,d,1,0.000096,0.000096
若,c,11,0.001056,0.001056
将,p,4,0.000384,0.000384
也,d,8,0.000768,0.000768
乃,c,3,0.000288,0.000288
诸,r,11,0.001056,0.001056
还,d,3,0.000288,0.000288
独,d,2,0.000192,0.000192
自,d,3,0.000288,0.000288
欲,d,12,0.001152,0.001152
始,d,1,0.000096,0.000096
相,d,4,0.000384,0.000384
又,c,3,0.000288,0.000288
因,p,2,0.000192,0.000192
重,d,2,0.000192,0.000192
略,d,2,0.000192,0.000192
非,d,1,0.000096,0.000096
哉,u,5,0.000480,0.000480
已,d,9,0.000864,0.000864
复,d,3,0.000288,0.000288
同,d,2,0.000192,0.000192
焉,d,1,0.000096,0.000096
随,p,3,0.000288,0.000288
兹,r,2,0.000192,0.000192
常,d,1,0.000096,0.000096
等,u,1,0.000096,0.000096
经,p,1,0.000096,0.000096
甚,d,1,0.000096,0.000096
同,p,3,0.000288,0.000288
骤,d,1,0.000096,0.000096
直,d,1,0.000096,0.000096
更,d,1,0.000096,0.000096
多,d,1,0.000096,0.000096
除,p,1,0.000096,0.000096
徒,d,2,0.000192,0.000192
然,c,1,0.000096,0.000096
方,d,2,0.000192,0.000192
每,r,1,0.000096,0.000096
尔,r,4,0.000384,0.000384
屡,d,1,0.000096,0.000096
和,c,2,0.000192,0.000192
乎,p,2,0.000192,0.000192
如,c,1,0.000096,0.000096
再,d,3,0.000288,0.000288
勿,d,1,0.000096,0.000096
约,d,1,0.000096,0.000096
由,p,1,0.000096,0.000096
恐,d,1,0.000096,0.000096
当,p,1,0.000096,0.000096
