Word,PoS,Total Count,Word Frequency,Unary Probability
不,d,116,0.021920,0.021920
也,u,104,0.019652,0.019652
及,c,19,0.003590,0.003590
于,p,112,0.021164,0.021164
未,d,3,0.000567,0.000567
故,c,26,0.004913,0.004913
之,u,117,0.022109,0.022109
而,c,71,0.013416,0.013416
遂,d,5,0.000945,0.000945
之,r,69,0.013039,0.013039
为,p,14,0.002646,0.002646
焉,u,15,0.002834,0.002834
唯,d,4,0.000756,0.000756
非,d,2,0.000378,0.000378
将,d,22,0.004157,0.004157
焉,r,4,0.000756,0.000756
对,p,10,0.001890,0.001890
何,r,10,0.001890,0.001890
犹,d,5,0.000945,0.000945
乎,u,16,0.003023,0.003023
必,d,6,0.001134,0.001134
既,c,5,0.000945,0.000945
己,r,4,0.000756,0.000756
若,c,11,0.002079,0.002079
与,c,9,0.001701,0.001701
则,d,3,0.000567,0.000567
将,p,6,0.001134,0.001134
自,r,4,0.000756,0.000756
又,d,5,0.000945,0.000945
以,p,94,0.017763,0.017763
矣,u,24,0.004535,0.004535
其,r,51,0.009637,0.009637
共,d,4,0.000756,0.000756
皆,d,2,0.000378,0.000378
且,c,4,0.000756,0.000756
谁,r,2,0.000378,0.000378
然,r,2,0.000378,0.000378
从,p,8,0.001512,0.001512
也,d,5,0.000945,0.000945
同,p,2,0.000378,0.000378
亦,d,11,0.002079,0.002079
与,p,9,0.001701,0.001701
向,p,2,0.000378,0.000378
复,d,3,0.000567,0.000567
又,c,1,0.000189,0.000189
先,d,7,0.001323,0.001323
岂,d,1,0.000189,0.000189
可,d,1,0.000189,0.000189
所,u,10,0.001890,0.001890
者,r,6,0.001134,0.001134
乃,c,1,0.000189,0.000189
欲,d,2,0.000378,0.000378
和,c,3,0.000567,0.000567
除,p,1,0.000189,0.000189
则,c,8,0.001512,0.001512
方,d,2,0.000378,0.000378
乎,p,2,0.000378,0.000378
此,r,6,0.001134,0.001134
凡,d,7,0.001323,0.001323
足,d,1,0.000189,0.000189
等,u,2,0.000378,0.000378
吾,r,6,0.001134,0.001134
自,p,3,0.000567,0.000567
更,d,1,0.000189,0.000189
正,d,2,0.000378,0.000378
勿,d,1,0.000189,0.000189
始,d,2,0.000378,0.000378
我,r,11,0.002079,0.002079
终,d,1,0.000189,0.000189
在,p,3,0.000567,0.000567
因,c,2,0.000378,0.000378
彼,r,1,0.000189,0.000189
徒,d,1,0.000189,0.000189
相,d,4,0.000756,0.000756
以,c,2,0.000378,0.000378
兹,r,1,0.000189,0.000189
经,p,1,0.000189,0.000189
诸,r,1,0.000189,0.000189
