Word,PoS,Total Count,Word Frequency,Unary Probability
于,p,755,0.014353,0.014353
且,c,82,0.001559,0.001559
之,u,1160,0.022052,0.022052
与,p,131,0.002490,0.002490
之,r,721,0.013706,0.013706
既,c,39,0.000741,0.000741
将,d,201,0.003821,0.003821
以,p,854,0.016235,0.016235
不,d,930,0.017679,0.017679
足,d,11,0.000209,0.000209
从,p,128,0.002433,0.002433
者,r,40,0.000760,0.000760
对,p,115,0.002186,0.002186
而,c,825,0.015683,0.015683
共,d,38,0.000722,0.000722
若,c,112,0.002129,0.002129
也,u,809,0.015379,0.015379
诸,r,64,0.001217,0.001217
唯,d,53,0.001008,0.001008
又,d,103,0.001958,0.001958
其,r,769,0.014619,0.014619
矣,u,266,0.005057,0.005057
将,p,40,0.000760,0.000760
己,r,13,0.000247,0.000247
莫,d,33,0.000627,0.000627
所,u,143,0.002718,0.002718
然,r,31,0.000589,0.000589
遂,d,68,0.001293,0.001293
犹,d,49,0.000931,0.000931
焉,u,172,0.003270,0.003270
乎,u,209,0.003973,0.003973
再,d,10,0.000190,0.000190
也,d,73,0.001388,0.001388
然,c,13,0.000247,0.000247
必,d,122,0.002319,0.002319
吾,r,146,0.002775,0.002775
为,p,118,0.002243,0.002243
则,d,40,0.000760,0.000760
则,c,94,0.001787,0.001787
已,d,50,0.000950,0.000950
哉,u,40,0.000760,0.000760
亦,d,113,0.002148,0.002148
此,r,77,0.001464,0.001464
欲,d,51,0.000970,0.000970
何,r,225,0.004277,0.004277
或,c,35,0.000665,0.000665
皆,d,90,0.001711,0.001711
及,c,142,0.002699,0.002699
未,d,41,0.000779,0.000779
相,d,39,0.000741,0.000741
与,c,66,0.001255,0.001255
我,r,107,0.002034,0.002034
谁,r,42,0.000798,0.000798
甚,d,33,0.000627,0.000627
自,r,41,0.000779,0.000779
又,c,9,0.000171,0.000171
焉,r,55,0.001046,0.001046
彼,r,18,0.000342,0.000342
常,d,21,0.000399,0.000399
乎,p,11,0.000209,0.000209
自,p,31,0.000589,0.000589
岂,d,23,0.000437,0.000437
勿,d,11,0.000209,0.000209
可,c,1,0.000019,0.000019
终,d,8,0.000152,0.000152
用,p,21,0.000399,0.000399
比,p,11,0.000209,0.000209
正,d,11,0.000209,0.000209
曾,d,2,0.000038,0.000038
焉,d,3,0.000057,0.000057
故,c,106,0.002015,0.002015
直,d,2,0.000038,0.000038
在,p,124,0.002357,0.002357
非,d,21,0.000399,0.000399
徒,d,11,0.000209,0.000209
因,p,20,0.000380,0.000380
夫,u,1,0.000019,0.000019
兹,r,12,0.000228,0.000228
先,d,46,0.000874,0.000874
和,c,21,0.000399,0.000399
乃,c,13,0.000247,0.000247
孰,r,6,0.000114,0.000114
除,p,13,0.000247,0.000247
更,d,11,0.000209,0.000209
同,d,4,0.000076,0.000076
同,p,16,0.000304,0.000304
尽,d,11,0.000209,0.000209
多,d,7,0.000133,0.000133
齐,d,27,0.000513,0.000513
须,d,4,0.000076,0.000076
固,d,7,0.000133,0.000133
尔,r,11,0.000209,0.000209
才,d,2,0.000038,0.000038
以,c,44,0.000836,0.000836
独,d,5,0.000095,0.000095
弗,d,6,0.000114,0.000114
在,d,1,0.000019,0.000019
余,r,30,0.000570,0.000570
复,d,13,0.000247,0.000247
方,d,4,0.000076,0.000076
始,d,8,0.000152,0.000152
由,p,7,0.000133,0.000133
仍,d,2,0.000038,0.000038
凡,d,4,0.000076,0.000076
各,r,7,0.000133,0.000133
至,p,17,0.000323,0.000323
当,p,3,0.000057,0.000057
骤,d,1,0.000019,0.000019
尚,d,9,0.000171,0.000171
汝,r,4,0.000076,0.000076
故,d,2,0.000038,0.000038
并,c,8,0.000152,0.000152
斯,r,2,0.000038,0.000038
果,d,2,0.000038,0.000038
是,r,4,0.000076,0.000076
还,d,8,0.000152,0.000152
自,d,9,0.000171,0.000171
经,p,2,0.000038,0.000038
重,d,2,0.000038,0.000038
纵,c,1,0.000019,0.000019
实,d,1,0.000019,0.000019
即,d,2,0.000038,0.000038
每,r,4,0.000076,0.000076
等,u,1,0.000019,0.000019
否,u,2,0.000038,0.000038
极,d,7,0.000133,0.000133
否则,c,1,0.000019,0.000019
兮,u,1,0.000019,0.000019
仅,d,1,0.000019,0.000019
向,p,15,0.000285,0.000285
愈,d,2,0.000038,0.000038
因,c,3,0.000057,0.000057
猛,d,2,0.000038,0.000038
和,p,1,0.000019,0.000019
边,d,1,0.000019,0.000019
略,d,1,0.000019,0.000019
惟,d,2,0.000038,0.000038
可,d,1,0.000019,0.000019
连,u,1,0.000019,0.000019
永,d,1,0.000019,0.000019
然后,c,1,0.000019,0.000019
