Word,PoS,Total Count,Word Frequency,Unary Probability
不,d,76,0.012633,0.012633
也,u,117,0.019448,0.019448
于,p,132,0.021941,0.021941
之,u,114,0.018949,0.018949
齐,d,9,0.001496,0.001496
以,p,80,0.013298,0.013298
乎,u,20,0.003324,0.003324
将,d,18,0.002992,0.002992
凡,d,10,0.001662,0.001662
焉,r,3,0.000499,0.000499
余,r,1,0.000166,0.000166
矣,u,16,0.002660,0.002660
而,c,93,0.015459,0.015459
其,r,66,0.010971,0.010971
故,c,16,0.002660,0.002660
焉,u,25,0.004156,0.004156
若,c,9,0.001496,0.001496
莫,d,5,0.000831,0.000831
随,p,1,0.000166,0.000166
且,c,5,0.000831,0.000831
以,c,3,0.000499,0.000499
与,p,16,0.002660,0.002660
未,d,7,0.001164,0.001164
必,d,13,0.002161,0.002161
本,r,1,0.000166,0.000166
之,r,97,0.016124,0.016124
吾,r,14,0.002327,0.002327
者,r,2,0.000332,0.000332
此,r,7,0.001164,0.001164
及,c,23,0.003823,0.003823
对,p,13,0.002161,0.002161
从,p,9,0.001496,0.001496
还,d,1,0.000166,0.000166
复,d,2,0.000332,0.000332
我,r,10,0.001662,0.001662
何,r,11,0.001828,0.001828
至,p,2,0.000332,0.000332
因,c,2,0.000332,0.000332
在,p,8,0.001330,0.001330
遂,d,11,0.001828,0.001828
哉,u,1,0.000166,0.000166
自,p,9,0.001496,0.001496
皆,d,11,0.001828,0.001828
相,d,2,0.000332,0.000332
又,d,9,0.001496,0.001496
所,u,6,0.000997,0.000997
也,d,4,0.000665,0.000665
再,d,1,0.000166,0.000166
彼,r,1,0.000166,0.000166
先,d,2,0.000332,0.000332
亦,d,10,0.001662,0.001662
为,p,10,0.001662,0.001662
既,c,3,0.000499,0.000499
共,d,4,0.000665,0.000665
猛,d,3,0.000499,0.000499
欲,d,3,0.000499,0.000499
与,c,6,0.000997,0.000997
非,d,5,0.000831,0.000831
比,p,1,0.000166,0.000166
始,d,2,0.000332,0.000332
自,d,4,0.000665,0.000665
犹,d,4,0.000665,0.000665
常,d,2,0.000332,0.000332
则,d,4,0.000665,0.000665
又,c,1,0.000166,0.000166
谁,r,2,0.000332,0.000332
纵,c,1,0.000166,0.000166
就,p,1,0.000166,0.000166
同,p,3,0.000499,0.000499
因,p,2,0.000332,0.000332
须,d,1,0.000166,0.000166
诸,r,3,0.000499,0.000499
自,r,4,0.000665,0.000665
和,c,2,0.000332,0.000332
孰,r,1,0.000166,0.000166
将,p,1,0.000166,0.000166
岂,d,1,0.000166,0.000166
并,c,1,0.000166,0.000166
然,r,2,0.000332,0.000332
则,c,4,0.000665,0.000665
已,d,1,0.000166,0.000166
乃,c,2,0.000332,0.000332
同,d,1,0.000166,0.000166
由,p,1,0.000166,0.000166
唯,d,2,0.000332,0.000332
乎,p,1,0.000166,0.000166
用,p,1,0.000166,0.000166
俱,d,1,0.000166,0.000166
正,d,1,0.000166,0.000166
