,Ai,Cheng,Ding,Huan,Min,Wen,Xi,Xiang,Xuan,Yin,Zhao,Zhuang,Chu-1,Chu-2,Jin-1,Jin-2,Jin-3,Jin-4,Jin-5,Jin-6,Jin-7,Jin-8,Jin-9,Lu-1,Lu-2,Qi,Wu,Yue-1,Yue-2,Zheng,Zhou-1,Zhou-2,Zhou-3
Ai,0,0.047637786,0.046323829269260555,0.1057457524156532,0.20435241642414023,0.070816549,0.043916969159323235,0.032352974,0.038325115083316895,0.15162557927922227,0.023277406763792904,0.11872564994953452,0.087193261,0.12020521693407012,0.11050213578961153,0.14972934596760437,0.19926109948541393,0.11943049566926082,0.24587564913183435,0.18321974099506982,0.328743662,0.12268736588230297,0.1457435032081581,0.1335866194733849,0.11248164074240585,0.1715422441814239,0.1214207343783272,0.31861959962501607,0.15786756432228324,0.3739999072593365,0.16721158946966747,0.1450988634727285,0.086783843
Cheng,0.047637786,0,0.086065527,0.12318859675717286,0.22916025240520682,0.070448855,0.034024818965289756,0.035121332442336436,0.046823114,0.19703862809952766,0.035628837976532594,0.14050111679139918,0.10678458673876122,0.13464443986253727,0.1339647935630282,0.15248910148158346,0.22495935735042832,0.13546068174000458,0.2376399476910192,0.18786878198503973,0.4070964896432316,0.15458803999365844,0.17694474758128484,0.12175355583698606,0.13682647961056932,0.20291480363711445,0.1356974675292519,0.36524909381189274,0.19415749643804703,0.42080134098264593,0.18034784424655825,0.1402559950713855,0.10383114124178712
Ding,0.046323829269260555,0.086065527,0,0.1813983752535415,0.29923676267863364,0.10601687634872645,0.090059666,0.059075145,0.067773248,0.216449549,0.043091542,0.14251913622307347,0.11597860330576226,0.16868595524009158,0.17998582580872274,0.19757694912616025,0.2682918442156637,0.12264600401596296,0.33896378906130586,0.2235076314771535,0.5198643770715872,0.164901395,0.21882189995298013,0.15158390951766162,0.177572723,0.26947313567160724,0.14462371853801287,0.3587613828499976,0.23470596394264195,0.48080309903691343,0.2070550170536773,0.17505185970884568,0.1239805332705849
Huan,0.1057457524156532,0.12318859675717286,0.1813983752535415,0,0.3447231462945507,0.17133996140575844,0.15524723514212063,0.1365564981993287,0.16827050389113915,0.2857890508467875,0.14200488938092612,0.20389953851193426,0.22823352134278607,0.24710589456890544,0.20921559757824865,0.2737395682431335,0.2778243668396946,0.23527982885051202,0.3224897475796335,0.2432077943790135,0.4771269714057415,0.22582126557299595,0.23448525419274996,0.24813561875919793,0.2361636665726721,0.2722726629306566,0.2245514888947213,0.46807704122580135,0.3026961202662132,0.42018608121687995,0.27772395042381287,0.21969457331160258,0.1076319271028135
Min,0.20435241642414023,0.22916025240520682,0.29923676267863364,0.3447231462945507,0,0.08257437,0.093265192,0.10663444615123599,0.12484459808934943,0.20296142108154414,0.09630379,0.11637213220387815,0.11076587399703555,0.1401614492232601,0.16574089331440695,0.12266086953316115,0.26627768387170503,0.14894806121482213,0.2784229703147595,0.2894887015352263,0.36208966866509934,0.19921098518907818,0.2236676960257479,0.11474130728499098,0.1521848217969878,0.2109173496374556,0.15494010211740925,0.42633019649849396,0.25191827323214966,0.437743678,0.2649580616916915,0.11912575099088481,0.079049342
Wen,0.070816549,0.070448855,0.10601687634872645,0.17133996140575844,0.08257437,0,0.034252136,0.026734836,0.044688103,0.11839457538790578,0.026651913944007566,0.10032941810163273,0.13340797824267644,0.13325940083574425,0.089051395,0.13858078970359805,0.22307203646386656,0.1005139054108922,0.22378405696340287,0.12916390725603374,0.31999371689626677,0.14144689626430929,0.17734422735476518,0.14694121347304132,0.12796910777638312,0.1505639010392886,0.15170895787885683,0.4024576834847126,0.19483286448069095,0.3631872317045786,0.14787685387668292,0.12157800546508563,0.088356583
Xi,0.043916969159323235,0.034024818965289756,0.090059666,0.15524723514212063,0.093265192,0.034252136,0,0.032353072,0.035159704443425824,0.1527712556926327,0.031608363,0.11340856606012206,0.087556853,0.11243260047836141,0.10712423631844435,0.12456079605512166,0.1858078609501893,0.09508782,0.21939762607500837,0.15345890728861522,0.35285783423825584,0.11149216655679596,0.1345581961034596,0.093415605,0.10781953341824756,0.18171770285260577,0.14952652384947265,0.35212129090746985,0.17027421040585256,0.36202638076063115,0.14275707161805687,0.12080124881597497,0.093834218
Xiang,0.032352974,0.035121332442336436,0.059075145,0.1365564981993287,0.10663444615123599,0.026734836,0.032353072,0,0.040448949,0.16220136314616798,0.005825308,0.11612035931117334,0.085998901,0.10430003845300811,0.10369821699651628,0.14222695070013464,0.1797500420711443,0.10667667626050442,0.1959341748169078,0.15029476395010596,0.3734332954630512,0.10956358636278969,0.13209495629171883,0.10542921968927232,0.096224104,0.18989069912756973,0.12055972560239703,0.3257290770818687,0.166491931,0.3713543495326706,0.14616391578654733,0.12476931199974126,0.078371769
Xuan,0.038325115083316895,0.046823114,0.067773248,0.16827050389113915,0.12484459808934943,0.044688103,0.035159704443425824,0.040448949,0,0.1658143027599831,0.027298639754031774,0.11796745995042177,0.10056889529068055,0.12606812252637706,0.10729307432676115,0.1592458535227412,0.20182409568480716,0.11369412065028689,0.24534813595681168,0.1567687125561109,0.3899399417085509,0.13215977621425432,0.14859021775024386,0.1263894320764629,0.13002933851834733,0.17500164641544325,0.11986773208633854,0.31195733520292146,0.1772972368613017,0.3717806100756311,0.16046195327019722,0.13680066370362537,0.10100460792647611
Yin,0.15162557927922227,0.19703862809952766,0.216449549,0.2857890508467875,0.20296142108154414,0.11839457538790578,0.1527712556926327,0.16220136314616798,0.1658143027599831,0,0.039632002,0.090487739,0.11807966773923158,0.093957942,0.084168548,0.10504145686981622,0.18239100328226288,0.1020750447524758,0.21631384469303674,0.10500745761728195,0.2754310849544774,0.093007155,0.14382896210047777,0.066347715,0.1292440162053483,0.13675274119119188,0.085764407,0.2686663398788834,0.1360573207468406,0.27709950125164295,0.14126128560534407,0.10086036923997967,0.094867789
Zhao,0.023277406763792904,0.035628837976532594,0.043091542,0.14200488938092612,0.09630379,0.026651913944007566,0.031608363,0.005825308,0.027298639754031774,0.039632002,0,0.136819063,0.086481243,0.12006012041708783,0.13592261792288043,0.17375421210722966,0.20758914,0.1142814423883981,0.23038367889628247,0.19671905037948098,0.4057445369330468,0.13995191818888703,0.14683757895037144,0.1322740667796369,0.11297311794832361,0.19312932122332788,0.13807686641180972,0.36073910838348966,0.1744995507599508,0.38881520138130465,0.15486394970974837,0.13413165872753882,0.080542889
Zhuang,0.11872564994953452,0.14050111679139918,0.14251913622307347,0.20389953851193426,0.11637213220387815,0.10032941810163273,0.11340856606012206,0.11612035931117334,0.11796745995042177,0.090487739,0.136819063,0,0.11293671958437565,0.12133791136648735,0.074091915,0.16626645248088545,0.21059731756135686,0.11524299560027343,0.21309642728551165,0.15426264574921777,0.2944468767872487,0.13467966869747336,0.16628188402877891,0.085933975,0.12169501892938463,0.1536767863457466,0.099837697,0.30104729438060296,0.17941875643570104,0.28013427355430986,0.15715943212035013,0.11994345134665475,0.095338821
Chu-1,0.087193261,0.10678458673876122,0.11597860330576226,0.22823352134278607,0.11076587399703555,0.13340797824267644,0.087556853,0.085998901,0.10056889529068055,0.11807966773923158,0.086481243,0.11293671958437565,0,0.15805740833634632,0.21176687466764382,0.21111421415260104,0.23822070011764976,0.1447034836958015,0.34843809141272214,0.24874482665812087,0.5867655453427113,0.15669388885387586,0.18867301030892109,0.1612573192350779,0.18527276056764214,0.2640477129048824,0.1736386896070365,0.3970873588505946,0.20772672211107363,0.3965737671300457,0.2106924127484293,0.18033265856025293,0.10773179589111048
Chu-2,0.12020521693407012,0.13464443986253727,0.16868595524009158,0.24710589456890544,0.1401614492232601,0.13325940083574425,0.11243260047836141,0.10430003845300811,0.12606812252637706,0.093957942,0.12006012041708783,0.12133791136648735,0.15805740833634632,0,0.2246205284684045,0.2315085478057564,0.24004238994233737,0.30432715829927215,0.3808507574164557,0.38502581405200603,0.5854470236699886,0.13555497016518844,0.31563607580991127,0.2707844868597966,0.2202519135847862,0.22410853950261145,0.25231013217797954,0.4358845702322422,0.3149332533331014,0.5343245997755081,0.255111128,0.2672402249028528,0.1328960458222781
Jin-1,0.11050213578961153,0.1339647935630282,0.17998582580872274,0.20921559757824865,0.16574089331440695,0.089051395,0.10712423631844435,0.10369821699651628,0.10729307432676115,0.084168548,0.13592261792288043,0.074091915,0.21176687466764382,0.2246205284684045,0,0.20485928344224305,0.30529816553574457,0.27214501656134854,0.3213441334291438,0.34555693731653536,0.5295290204269482,0.20343045200593024,0.17035781443740844,0.3115107453576244,0.2807785098436801,0.34252838436450533,0.29325253946988333,0.526564918,0.3020433632152268,0.6019125082046919,0.2997264598644178,0.24166735301099018,0.233508879
Jin-2,0.14972934596760437,0.15248910148158346,0.19757694912616025,0.2737395682431335,0.12266086953316115,0.13858078970359805,0.12456079605512166,0.14222695070013464,0.1592458535227412,0.10504145686981622,0.17375421210722966,0.16626645248088545,0.21111421415260104,0.2315085478057564,0.20485928344224305,0,0.18728984691638437,0.14968232367888973,0.3297082000007844,0.22170967974100167,0.592441493,0.15765391211057567,0.16040089785198344,0.12863461345878172,0.21309781600924874,0.2680535125015686,0.2468348453991711,0.46078882519372766,0.31096087553481805,0.6766939323022629,0.23924912253253316,0.2430809705819759,0.13582427559631516
Jin-3,0.19926109948541393,0.22495935735042832,0.2682918442156637,0.2778243668396946,0.26627768387170503,0.22307203646386656,0.1858078609501893,0.1797500420711443,0.20182409568480716,0.18239100328226288,0.20758914,0.21059731756135686,0.23822070011764976,0.24004238994233737,0.30529816553574457,0.18728984691638437,0,0.24984691483327465,0.46276074654954713,0.33599329158643165,0.6290573032261108,0.23356494535460065,0.31587316802506793,0.25959180648448693,0.28245877583715034,0.3280377210859707,0.23972929199867155,0.49521899931956104,0.34501291040136345,0.6370999361937517,0.3325512813074819,0.23046584311746496,0.2222770766214598
Jin-4,0.11943049566926082,0.13546068174000458,0.12264600401596296,0.23527982885051202,0.14894806121482213,0.1005139054108922,0.09508782,0.10667667626050442,0.11369412065028689,0.1020750447524758,0.1142814423883981,0.11524299560027343,0.1447034836958015,0.30432715829927215,0.27214501656134854,0.14968232367888973,0.24984691483327465,0,0.2874417663532833,0.14356315553307689,0.46091933169892135,0.078256558,0.11583717121164756,0.089151013,0.12512994066336894,0.2381558229678531,0.13222159904381514,0.34969631399942713,0.2142088839643637,0.3906669255424765,0.13287188938351868,0.11749068428839587,0.070041765
Jin-5,0.24587564913183435,0.2376399476910192,0.33896378906130586,0.3224897475796335,0.2784229703147595,0.22378405696340287,0.21939762607500837,0.1959341748169078,0.24534813595681168,0.21631384469303674,0.23038367889628247,0.21309642728551165,0.34843809141272214,0.3808507574164557,0.3213441334291438,0.3297082000007844,0.46276074654954713,0.2874417663532833,0,0.2283757115804771,0.4780159735197529,0.25596192435360826,0.16290851888927255,0.24638893401600362,0.17343215026960387,0.26328648910311264,0.21497107634517112,0.43980347626282573,0.30367786060103563,0.5306407173151606,0.18688950890552306,0.16771290960619353,0.18767713416229168
Jin-6,0.18321974099506982,0.18786878198503973,0.2235076314771535,0.2432077943790135,0.2894887015352263,0.12916390725603374,0.15345890728861522,0.15029476395010596,0.1567687125561109,0.10500745761728195,0.19671905037948098,0.15426264574921777,0.24874482665812087,0.38502581405200603,0.34555693731653536,0.22170967974100167,0.33599329158643165,0.14356315553307689,0.2283757115804771,0,0.5839874377017432,0.19779386514222946,0.19442948697819246,0.15167112456065426,0.1483472257427951,0.26137391874997973,0.21374666440023762,0.4859963737098141,0.2747945033746709,0.5668021453762048,0.24513723321762476,0.1293425094433287,0.1371740737958054
