Text Category,Statistic,p-value,Result,Mean (Text 1),Std Dev (Text 1),Mean (Text 2),Std Dev (Text 2),Mean Difference,Std Dev Difference
僖公.txt vs 哀公.txt,4.310527248642601,2.576441860179215e-05,Significant,2.2,0.5504818825631798,1.88,0.49807711057707543,0.3200000000000003,0.052404771986104326
僖公.txt vs 定公.txt,7.8072637437836025,3.690962540498019e-13,Significant,2.2,0.5504818825631798,1.53,0.6583573068132109,0.6700000000000002,-0.10787542425003116
僖公.txt vs 宣公.txt,8.032362727581013,8.733646150378679e-14,Significant,2.2,0.5504818825631798,1.54,0.6100173867368146,0.6600000000000001,-0.059535504173634846
僖公.txt vs 庄公.txt,13.632590991384925,4.7366273583612284e-30,Significant,2.2,0.5504818825631798,1.22,0.46231739501923824,0.9800000000000002,0.08816448754394152
僖公.txt vs 成公.txt,0.2849808939668923,0.7759724569820439,Not Significant,2.2,0.5504818825631798,2.18,0.43531017619043627,0.020000000000000018,0.11517170637274349
僖公.txt vs 文公.txt,5.990669024866073,1.0597678204801122e-08,Significant,2.2,0.5504818825631798,1.66,0.7137891491854932,0.5400000000000003,-0.16330726662231343
僖公.txt vs 昭公.txt,-6.418902720771543,2.3849674125069426e-09,Significant,2.2,0.5504818825631798,3.16,1.390588858626938,-0.96,-0.8401069760637582
僖公.txt vs 桓公.txt,15.617459074156747,3.7528918080818477e-35,Significant,2.2,0.5504818825631798,1.15,0.38599209705627363,1.0500000000000003,0.16448978550690613
僖公.txt vs 襄公.txt,-3.97700490914171,0.000106799221065721,Significant,2.2,0.5504818825631798,2.65,0.9885710532241613,-0.44999999999999973,-0.4380891706609815
僖公.txt vs 闵公.txt,20.768073842171603,3.4625535861939313e-40,Significant,2.2,0.5504818825631798,1.02,0.14070529413628952,1.1800000000000002,0.40977658842689024
僖公.txt vs 隐公.txt,10.65953555855143,3.0696744423361218e-21,Significant,2.2,0.5504818825631798,1.34,0.5898125023079694,0.8600000000000001,-0.039330619744789685
哀公.txt vs 定公.txt,4.239652745497095,3.536119370268586e-05,Significant,1.88,0.49807711057707543,1.53,0.6583573068132109,0.34999999999999987,-0.16028019623613549
哀公.txt vs 宣公.txt,4.317301002696328,2.537912035554574e-05,Significant,1.88,0.49807711057707543,1.54,0.6100173867368146,0.33999999999999986,-0.11194027615973917
哀公.txt vs 庄公.txt,9.711994370141966,1.8195193946193056e-18,Significant,1.88,0.49807711057707543,1.22,0.46231739501923824,0.6599999999999999,0.03575971555783719
哀公.txt vs 成公.txt,-4.535181036740554,1.0050915535204264e-05,Significant,1.88,0.49807711057707543,2.18,0.43531017619043627,-0.30000000000000027,0.06276693438663916
哀公.txt vs 文公.txt,2.527607564476732,0.012359884620423275,Significant,1.88,0.49807711057707543,1.66,0.7137891491854932,0.21999999999999997,-0.21571203860841776
哀公.txt vs 昭公.txt,-8.665640964945027,2.048329007535811e-14,Significant,1.88,0.49807711057707543,3.16,1.390588858626938,-1.2800000000000002,-0.8925117480498626
哀公.txt vs 桓公.txt,11.584810536061811,1.0024830209240566e-23,Significant,1.88,0.49807711057707543,1.15,0.38599209705627363,0.73,0.1120850135208018
哀公.txt vs 襄公.txt,-6.956007171942162,1.0861654318861956e-10,Significant,1.88,0.49807711057707543,2.65,0.9885710532241613,-0.77,-0.49049394264708585
哀公.txt vs 闵公.txt,16.616107324654422,2.586192385035328e-32,Significant,1.88,0.49807711057707543,1.02,0.14070529413628952,0.8599999999999999,0.3573718164407859
哀公.txt vs 隐公.txt,6.994961867331637,4.2632617411993315e-11,Significant,1.88,0.49807711057707543,1.34,0.5898125023079694,0.5399999999999998,-0.09173539173089401
定公.txt vs 宣公.txt,-0.11141720290623121,0.9113990353679844,Not Significant,1.53,0.6583573068132109,1.54,0.6100173867368146,-0.010000000000000009,0.048339920076396314
定公.txt vs 庄公.txt,3.8534695285577416,0.00016254684809826833,Significant,1.53,0.6583573068132109,1.22,0.46231739501923824,0.31000000000000005,0.19603991179397268
定公.txt vs 成公.txt,-8.235576007646348,4.364004050967721e-14,Significant,1.53,0.6583573068132109,2.18,0.43531017619043627,-0.6500000000000001,0.22304713062277465
定公.txt vs 文公.txt,-1.3387632694359313,0.1821927870102519,Not Significant,1.53,0.6583573068132109,1.66,0.7137891491854932,-0.1299999999999999,-0.05543184237228227
定公.txt vs 昭公.txt,-10.59431112464021,1.1544800851182623e-19,Significant,1.53,0.6583573068132109,3.16,1.390588858626938,-1.6300000000000001,-0.732231551813727
定公.txt vs 桓公.txt,4.97924934477688,1.6390666012853412e-06,Significant,1.53,0.6583573068132109,1.15,0.38599209705627363,0.3800000000000001,0.2723652097569373
