,Jin-8,Jin-5,Lu-1,Zheng,Jin-3,Jin-9,Zhou-1,Chu-1,Jin-4,Yue-1,Jin-2,Zhou-2,Jin-7,Chu-2,Jin-1,Wu,Yue-2,Zhou-3,Qi,Jin-6,Lu-2
Jin-8,1.0,0.5800376510344596,0.638883240182484,0.323120182635609,0.500806453279482,0.7504377685011412,0.4380076462993704,0.6433419850411692,0.651623645104668,0.47834784494393956,0.7019672937621846,0.5602300898143731,0.49420576838545127,0.6009084064668266,0.5860972183858667,0.5423366211814817,0.5210422742610623,0.44934125911509754,0.4980481382878045,0.6310026377426281,0.6432705280346088
Jin-5,0.5800376510344596,1.0000000000000002,0.5668173281664407,0.3741228001904992,0.5177784279981772,0.6618511184847522,0.24938784758368548,0.4245679325095365,0.5675009744402046,0.41432899168015036,0.4804462260963724,0.27907417885360253,0.46481018616378356,0.5769331043436068,0.46379426754640646,0.36664127207796116,0.41674786165196037,0.35869859963472894,0.38130727232480144,0.47948878505206094,0.569530232579421
Lu-1,0.638883240182484,0.5668173281664407,1.0000000000000002,0.3972657721126579,0.47442822503166837,0.578439009627541,0.38305761145482153,0.6030968312639403,0.6858796738017914,0.5128092271602662,0.6498924258658583,0.5502014782392439,0.5436913994720196,0.7180185575509637,0.6841714411483291,0.4983410456354962,0.35264404131609056,0.6269111891251136,0.41737486329328655,0.5636775178853115,0.7432426270966024
Zheng,0.323120182635609,0.3741228001904992,0.3972657721126579,1.0,0.22649703588798945,0.31302717969602956,0.15880554959587007,0.29654142044015014,0.39954545692444854,0.2933568820596289,0.24967433944169798,0.24682537613964534,0.36519565511604557,0.40811381040790723,0.3284843613765124,0.20011507789250832,0.2562600881938396,0.30603657887574887,0.23464538906784163,0.2879663031343281,0.3422628659607964
Jin-3,0.500806453279482,0.5177784279981772,0.47442822503166837,0.22649703588798945,1.0,0.5712463856206198,0.384551309123432,0.39411670529148235,0.5812961481038612,0.4518660118640394,0.6185566956685369,0.47573730804234715,0.4054742961677026,0.48600116535298604,0.6273458739817116,0.5334716031751288,0.5167622271441423,0.36952586657853936,0.31704995537466285,0.5097404173837814,0.5385237308379098
Jin-9,0.7504377685011412,0.6618511184847522,0.578439009627541,0.31302717969602956,0.5712463856206198,1.0,0.3492058789222267,0.5919365334017896,0.6402131392169979,0.39092618652071237,0.6900629986575042,0.3955607109859931,0.5196951317312342,0.4857908827460881,0.5971587990957299,0.49655393358451294,0.5201863269322815,0.329668878704779,0.40979731189622326,0.6437852333359922,0.6059384060616191
Zhou-1,0.4380076462993704,0.24938784758368548,0.38305761145482153,0.15880554959587007,0.384551309123432,0.3492058789222267,1.0,0.37625678397619877,0.4990020762398596,0.4504403651173453,0.5138574262054608,0.6577968876583473,0.417846665853618,0.5046222973250281,0.4998226386050936,0.6136209976720093,0.45602312561078506,0.4864958240838031,0.5219322387401822,0.4818073691865916,0.49146117787821275
Chu-1,0.6433419850411692,0.4245679325095365,0.6030968312639403,0.29654142044015014,0.39411670529148235,0.5919365334017896,0.37625678397619877,1.0,0.6408916997421461,0.41733157564009776,0.5798131600236685,0.5633945393208711,0.4907287633712286,0.6293252584304773,0.5760857825761871,0.5462790273147549,0.43819098773647835,0.5361386701849054,0.40608823857652576,0.589884757965492,0.5785563996640037
Jin-4,0.651623645104668,0.5675009744402046,0.6858796738017914,0.39954545692444854,0.5812961481038612,0.6402131392169979,0.4990020762398596,0.6408916997421461,1.0,0.5890565827578345,0.6939308446094609,0.6168569816215791,0.6353083340928176,0.6303765634874542,0.7585559674456843,0.5902042952796268,0.4506235164641841,0.6179929124290309,0.42143566629632423,0.6429832318612394,0.7502347853013563
Yue-1,0.47834784494393956,0.41432899168015036,0.5128092271602662,0.2933568820596289,0.4518660118640394,0.39092618652071237,0.4504403651173453,0.41733157564009776,0.5890565827578345,1.0,0.5173505732516822,0.5139288504403812,0.4990759125643013,0.5473187820019184,0.5097045898844694,0.45467662042381213,0.32571927571749154,0.49527753187500845,0.3607835432938168,0.455729351655179,0.5925213984992894
Jin-2,0.7019672937621846,0.4804462260963724,0.6498924258658583,0.24967433944169798,0.6185566956685369,0.6900629986575042,0.5138574262054608,0.5798131600236685,0.6939308446094609,0.5173505732516822,0.9999999999999998,0.599123671873706,0.5283196059900708,0.5672843079916844,0.7130970682294102,0.6655218747193883,0.5264277905290367,0.4455273376063009,0.45888890335884774,0.6238596121000849,0.7410288534407767
Zhou-2,0.5602300898143731,0.27907417885360253,0.5502014782392439,0.24682537613964534,0.47573730804234715,0.3955607109859931,0.6577968876583473,0.5633945393208711,0.6168569816215791,0.5139288504403812,0.599123671873706,0.9999999999999997,0.4726422760951835,0.5824729769515903,0.6190418377072968,0.5621050307237991,0.4453243908022716,0.5988088001858692,0.39544989187946955,0.5172585288634037,0.6053843916027761
Jin-7,0.49420576838545127,0.46481018616378356,0.5436913994720196,0.36519565511604557,0.4054742961677026,0.5196951317312342,0.417846665853618,0.4907287633712286,0.6353083340928176,0.4990759125643013,0.5283196059900708,0.4726422760951835,1.0,0.5294580751364057,0.5488241184473521,0.44761743404328813,0.3737340721638518,0.5963812035584635,0.39995133158441576,0.482601359943172,0.6100585020366854
Chu-2,0.6009084064668266,0.5769331043436068,0.7180185575509637,0.40811381040790723,0.48600116535298604,0.4857908827460881,0.5046222973250281,0.6293252584304773,0.6303765634874542,0.5473187820019184,0.5672843079916844,0.5824729769515903,0.5294580751364057,1.0,0.5692302043923785,0.6313666268206685,0.4794020560790402,0.6646734631645235,0.5459271150071889,0.5506527580973831,0.6956894140757817
Jin-1,0.5860972183858667,0.46379426754640646,0.6841714411483291,0.3284843613765124,0.6273458739817116,0.5971587990957299,0.4998226386050936,0.5760857825761871,0.7585559674456843,0.5097045898844694,0.7130970682294102,0.6190418377072968,0.5488241184473521,0.5692302043923785,1.0000000000000002,0.5234245651035282,0.36869739958603104,0.6221489154605668,0.34311757600624293,0.6362582673035635,0.7176402458100415
Wu,0.5423366211814817,0.36664127207796116,0.4983410456354962,0.20011507789250832,0.5334716031751288,0.49655393358451294,0.6136209976720093,0.5462790273147549,0.5902042952796268,0.45467662042381213,0.6655218747193883,0.5621050307237991,0.44761743404328813,0.6313666268206685,0.5234245651035282,1.0,0.6387241602504503,0.4446863031482331,0.5142251427582734,0.5630991711140869,0.5490547804114532
Yue-2,0.5210422742610623,0.41674786165196037,0.35264404131609056,0.2562600881938396,0.5167622271441423,0.5201863269322815,0.45602312561078506,0.43819098773647835,0.4506235164641841,0.32571927571749154,0.5264277905290367,0.4453243908022716,0.3737340721638518,0.4794020560790402,0.36869739958603104,0.6387241602504503,0.9999999999999997,0.25944049708992095,0.479694281005471,0.43358845126037027,0.44764825569538647
Zhou-3,0.44934125911509754,0.35869859963472894,0.6269111891251136,0.30603657887574887,0.36952586657853936,0.329668878704779,0.4864958240838031,0.5361386701849054,0.6179929124290309,0.49527753187500845,0.4455273376063009,0.5988088001858692,0.5963812035584635,0.6646734631645235,0.6221489154605668,0.4446863031482331,0.25944049708992095,0.9999999999999999,0.38390590157753335,0.5489600308084892,0.6312540638270625
Qi,0.4980481382878045,0.38130727232480144,0.41737486329328655,0.23464538906784163,0.31704995537466285,0.40979731189622326,0.5219322387401822,0.40608823857652576,0.42143566629632423,0.3607835432938168,0.45888890335884774,0.39544989187946955,0.39995133158441576,0.5459271150071889,0.34311757600624293,0.5142251427582734,0.479694281005471,0.38390590157753335,1.0,0.3347936984336458,0.4895437621237264
Jin-6,0.6310026377426281,0.47948878505206094,0.5636775178853115,0.2879663031343281,0.5097404173837814,0.6437852333359922,0.4818073691865916,0.589884757965492,0.6429832318612394,0.455729351655179,0.6238596121000849,0.5172585288634037,0.482601359943172,0.5506527580973831,0.6362582673035635,0.5630991711140869,0.43358845126037027,0.5489600308084892,0.3347936984336458,1.0,0.5938533517855863
Lu-2,0.6432705280346088,0.569530232579421,0.7432426270966024,0.3422628659607964,0.5385237308379098,0.6059384060616191,0.49146117787821275,0.5785563996640037,0.7502347853013563,0.5925213984992894,0.7410288534407767,0.6053843916027761,0.6100585020366854,0.6956894140757817,0.7176402458100415,0.5490547804114532,0.44764825569538647,0.6312540638270625,0.4895437621237264,0.5938533517855863,0.9999999999999999
