,Min,Xuan,Ai,Xi,Xiang,Ding,Zhao,Wen,Cheng,Huan,Yin,Zhuang
Min,1.0000000000000002,0.39606856651785655,0.5302880856323239,0.52229633652458,0.47165317805414625,0.49296257280718353,0.4473616043015428,0.5168696896891206,0.42829037921177743,0.41627062125328573,0.5529746429568967,0.4467521380678132
Xuan,0.39606856651785655,1.0000000000000002,0.7499547146322273,0.8129866147680859,0.8967909292873237,0.7105814764016603,0.8077378161695525,0.7855475647346383,0.890437468657089,0.7415170905407032,0.66554734859735,0.7525207490843091
Ai,0.5302880856323239,0.7499547146322273,1.0,0.8849489908254247,0.8371920518103114,0.8128204303037678,0.8047953357018867,0.8489253569813142,0.7933852023333724,0.6460277024926786,0.7527795676639126,0.7647596180966858
Xi,0.52229633652458,0.8129866147680859,0.8849489908254247,1.0,0.8675877899355842,0.8810151991312941,0.8035871314541106,0.8483959669509479,0.9053163940583412,0.6859432471640236,0.7764566126372008,0.77557378690081
Xiang,0.47165317805414625,0.8967909292873237,0.8371920518103114,0.8675877899355842,0.9999999999999997,0.7770036514961378,0.8882867711791945,0.8310755953272797,0.922831100921415,0.7480944320399312,0.7207176314572815,0.7522347937233892
Ding,0.49296257280718353,0.7105814764016603,0.8128204303037678,0.8810151991312941,0.7770036514961378,1.0,0.7271375831191891,0.7899736100264281,0.7748594556318177,0.6560232007872296,0.672666415745879,0.7136335415305031
Zhao,0.4473616043015428,0.8077378161695525,0.8047953357018867,0.8035871314541106,0.8882867711791945,0.7271375831191891,0.9999999999999999,0.7773748412300746,0.8244815074725743,0.7057477491330748,0.7779621432659674,0.7291840181259283
Wen,0.5168696896891206,0.7855475647346383,0.8489253569813142,0.8483959669509479,0.8310755953272797,0.7899736100264281,0.7773748412300746,0.9999999999999998,0.7634273584286282,0.6948291400638128,0.8120848497359997,0.7807574554107443
Cheng,0.42829037921177743,0.890437468657089,0.7933852023333724,0.9053163940583412,0.922831100921415,0.7748594556318177,0.8244815074725743,0.7634273584286282,1.0,0.7415118183406613,0.6954365652114256,0.7284598335079204
Huan,0.41627062125328573,0.7415170905407032,0.6460277024926786,0.6859432471640236,0.7480944320399312,0.6560232007872296,0.7057477491330748,0.6948291400638128,0.7415118183406613,0.9999999999999998,0.7179580712203111,0.7486936095801701
Yin,0.5529746429568967,0.66554734859735,0.7527795676639126,0.7764566126372008,0.7207176314572815,0.672666415745879,0.7779621432659674,0.8120848497359997,0.6954365652114256,0.7179580712203111,0.9999999999999998,0.6641226025891955
Zhuang,0.4467521380678132,0.7525207490843091,0.7647596180966858,0.77557378690081,0.7522347937233892,0.7136335415305031,0.7291840181259283,0.7807574554107443,0.7284598335079204,0.7486936095801701,0.6641226025891955,0.9999999999999999
