,Jin-8,Jin-5,Lu-1,Zheng,Jin-3,Jin-9,Zhou-1,Chu-1,Jin-4,Yue-1,Jin-2,Zhou-2,Jin-7,Chu-2,Jin-1,Wu,Yue-2,Zhou-3,Qi,Jin-6,Lu-2,Min,Xuan,Ai,Xi,Xiang,Ding,Zhao,Wen,Cheng,Huan,Yin,Zhuang
Jin-8,1.0000000000000004,0.9179539319667251,0.9194786546763029,0.7857836612729264,0.9078687067580831,0.926569937264988,0.88856252851891,0.9179881697604635,0.9242070967472856,0.8490323458113318,0.9207675709579916,0.9005023972903773,0.8713832507303623,0.9157569573023654,0.9265378986594344,0.8829455881688686,0.8664547856227833,0.8783850077841586,0.8883001190090912,0.9061437299774757,0.9204515090827077,0.8951248481860434,0.9185753770211669,0.9295988961060945,0.9404173955109182,0.9491201442361552,0.934981409879916,0.9487047802097437,0.9184910707778389,0.9275342210406812,0.8839629490980331,0.8889555128924123,0.8974771760101374
Jin-5,0.9179539319667251,1.0,0.8845982089780733,0.7602328627668449,0.8842418660013962,0.910830263019067,0.828573916396657,0.8498966852300565,0.8810961841136675,0.82132155534134,0.8755670971886962,0.8424796838082924,0.844518101077769,0.8858669967098347,0.8917423769282425,0.8316416612581501,0.8334163779749473,0.8357233632364166,0.8379904050070264,0.8671958759665666,0.9096993217439373,0.8474318827481018,0.8988283408293013,0.8918036985184193,0.9020862087720191,0.9063569198115894,0.8848472689833742,0.904519663547271,0.8643930922619631,0.8880538429854621,0.8157403634486572,0.8409164640520734,0.8556950777774797
Lu-1,0.9194786546763029,0.8845982089780733,1.0,0.821033275161937,0.8565491345033053,0.8893491618590588,0.8665452902515413,0.9083319415959914,0.9242382462356559,0.8535993220050742,0.893485682954353,0.9025348982411183,0.888117899762706,0.9148990873461075,0.9115984172850944,0.8750392519187447,0.8191851873357593,0.9104369035511095,0.8499637482739391,0.8929822077598477,0.9403816535797538,0.8925239747635525,0.9111036219499928,0.9068324437744947,0.9282213022075044,0.9373764190526512,0.9088333499355687,0.9352003214443483,0.9188373348847312,0.9254748068627393,0.8868372541110627,0.9076046256316452,0.8880598069597301
Zheng,0.7857836612729264,0.7602328627668449,0.821033275161937,1.0,0.7315031922186458,0.7394468898110217,0.7703449047865973,0.8046409381317652,0.8344971072135183,0.7010388517534991,0.7565717666220201,0.7922916273675072,0.7754937257550247,0.805439062159222,0.7883373380011921,0.732610895539042,0.6920735351123104,0.8260723412439515,0.7702773242742207,0.7637238585041508,0.7952179425428736,0.7801116935816842,0.7819363669119731,0.775151483690506,0.8017179917312197,0.8130548046562062,0.7911062762736869,0.8122719093157862,0.808239865715224,0.7947462814062043,0.8149036305735711,0.8127057294652338,0.7791927884758327
Jin-3,0.9078687067580831,0.8842418660013962,0.8565491345033053,0.7315031922186458,1.0000000000000002,0.9069620488324738,0.8342833152452276,0.847707033614727,0.8792679481501822,0.7958180715426777,0.9150017036226399,0.8730925069219483,0.8123434910952764,0.8522001916296439,0.9155261227981568,0.8544532521686522,0.8671098822109914,0.8194826631941041,0.8119604672053066,0.8816835479070491,0.893561645212988,0.8977378861919378,0.9058889248852462,0.9115016007577748,0.9120669129609766,0.9097649032978236,0.9053858043086651,0.9037771835242572,0.881915165646401,0.9013623660953213,0.8321159401220856,0.844178930961755,0.8431001987342615
Jin-9,0.926569937264988,0.910830263019067,0.8893491618590588,0.7394468898110217,0.9069620488324738,1.0,0.8360116858254623,0.8814389575969568,0.9040269716934165,0.7914054899579829,0.9298339091378568,0.860142514258549,0.84892193416417,0.8763107700182611,0.9010187552252504,0.868957263744417,0.8666349409795926,0.8146870122843999,0.8453378058514192,0.8836175996133526,0.9020158646370784,0.8870858698869978,0.9298074401775968,0.9442339543722095,0.9453548771264538,0.9389117512950993,0.9299873512389213,0.9299668968244266,0.9016775208943484,0.9269940705550399,0.8535912003603822,0.8767775214432261,0.8892250792671927
Zhou-1,0.88856252851891,0.828573916396657,0.8665452902515413,0.7703449047865973,0.8342833152452276,0.8360116858254623,1.0,0.8744127688242272,0.8978511715511639,0.8049678832135339,0.8686899867517858,0.9289044449707845,0.8665193196327425,0.9041123962773331,0.8700406476126301,0.885956647644347,0.8538507499234914,0.8888083413537622,0.8795467307559272,0.8702121912584708,0.8742836719113227,0.8502255605957817,0.8950395093040459,0.8910730006546208,0.8993343007781647,0.9100905086912036,0.8956260764349683,0.9213088128850896,0.9078545990262332,0.9118732649805187,0.8786770344596396,0.8726099443960764,0.873887367559625
Chu-1,0.9179881697604635,0.8498966852300565,0.9083319415959914,0.8046409381317652,0.847707033614727,0.8814389575969568,0.8744127688242272,0.9999999999999999,0.90834832430874,0.8360222954245853,0.8848792840911631,0.897942364415248,0.8538599726160345,0.9111405905127703,0.890675977865653,0.8932992000908164,0.8300866642293658,0.8960349859125507,0.8555458878658608,0.8979497785204269,0.8891269280908893,0.8760797513305036,0.8919151280645898,0.9070007585560601,0.9173934592828836,0.9242492783568996,0.9075976589330921,0.9283368860601118,0.9110474949068067,0.9214585833520528,0.88009979223055,0.8826056906738033,0.8721467686420763
Jin-4,0.9242070967472856,0.8810961841136675,0.9242382462356559,0.8344971072135183,0.8792679481501822,0.9040269716934165,0.8978511715511639,0.90834832430874,0.9999999999999999,0.8439611405826868,0.9218578929064958,0.9176696400193636,0.8895327543107074,0.9163675854974204,0.9339442466925376,0.8775563907021002,0.8379548567612575,0.9220490233340612,0.8682336543661597,0.8975658036782438,0.9356875676347715,0.9235752059580642,0.934596937876276,0.9353871259491652,0.955607456002616,0.9597299171600497,0.9362378759136077,0.9587336195539258,0.9471605334825894,0.9534345609480748,0.9171492131843456,0.9246541423161396,0.9121205821564754
Yue-1,0.8490323458113318,0.82132155534134,0.8535993220050742,0.7010388517534991,0.7958180715426777,0.7914054899579829,0.8049678832135339,0.8360222954245853,0.8439611405826868,1.0,0.822562888092041,0.8413294315004689,0.8142814680998631,0.8378296590192554,0.8390841129100206,0.8090921066002789,0.7681586441046964,0.8143259602387846,0.7928299735188129,0.8076166052840968,0.8654702286695516,0.8171763186691772,0.818530544092217,0.8217256412481597,0.8337924432639376,0.8429243524916582,0.8242295116588427,0.8463566014212416,0.8303350592438278,0.8367122024509834,0.8010865234657143,0.8034478194419274,0.8096805945467982
Jin-2,0.9207675709579916,0.8755670971886962,0.893485682954353,0.7565717666220201,0.9150017036226399,0.9298339091378568,0.8686899867517858,0.8848792840911631,0.9218578929064958,0.822562888092041,1.0,0.8974402028604818,0.8575012974103351,0.8867268842228863,0.9367847976390913,0.8998521682455399,0.8744890484366452,0.8483187559385548,0.8561675290018337,0.8926834990764393,0.9138589351815496,0.9001028019052199,0.9335272098230287,0.93662516484015,0.9362490394822411,0.9306735427827991,0.9287237887981664,0.9311992599951184,0.9161183304101082,0.9354153551630914,0.8747565369760654,0.886040864265907,0.8916022730189322
Zhou-2,0.9005023972903773,0.8424796838082924,0.9025348982411183,0.7922916273675072,0.8730925069219483,0.860142514258549,0.9289044449707845,0.897942364415248,0.9176696400193636,0.8413294315004689,0.8974402028604818,1.0,0.8673449056919954,0.9062956358247714,0.9182245108246134,0.8943888326310863,0.8395615606474258,0.9178960096030063,0.8538240795099734,0.8777954064839888,0.9077365494074248,0.8766574040777035,0.9012470868522735,0.9048182033824579,0.9079820782325707,0.9211000990913634,0.9080510928823278,0.9254520867695399,0.9114248124438333,0.9213785135425254,0.8846592772969042,0.8783262013274563,0.8771033369356962
Jin-7,0.8713832507303623,0.844518101077769,0.888117899762706,0.7754937257550247,0.8123434910952764,0.84892193416417,0.8665193196327425,0.8538599726160345,0.8895327543107074,0.8142814680998631,0.8575012974103351,0.8673449056919954,1.0000000000000004,0.865674818364577,0.8622473785493865,0.8479361930464239,0.7903216757359672,0.8721305484236846,0.8509222788284037,0.858008497251797,0.9034602890291688,0.8340233628777476,0.8987696180013851,0.883647342404905,0.8855872072615758,0.9039167339575795,0.8782766915639881,0.9128627556581845,0.8930692136457192,0.9008732409519531,0.8531722873850456,0.8743314730869243,0.8723004060610062
